No,施設名,所在地,自主避難場所,緊急避難場所,緊急滞在施設,構造,緯度,経度
1,谷中小学校,東京都台東区谷中2-9-16,自主避難場所,緊急避難場所,ー,鉄筋コンクリート,35.724117,139.765472
2,忍岡小学校,東京都台東区池之端2-1-22,自主避難場所,緊急避難場所,ー,鉄筋コンクリート,35.713993,139.766296
3,旧柳北小学校,東京都台東区浅草橋5-1-8,自主避難場所,緊急避難場所,ー,鉄筋コンクリート,35.699459,139.782059
4,松葉小学校,東京都台東区松が谷1-13-16,自主避難場所,緊急避難場所,ー,鉄筋コンクリート,35.712242,139.786926
5,東浅草小学校,東京都台東区東浅草2-27-19,自主避難場所,緊急避難場所,ー,鉄筋コンクリート,35.72456,139.798569
6,柏葉中学校,東京都台東区下谷3-1-29,自主避難場所,緊急避難場所,ー,鉄筋コンクリート,35.723251,139.786255
7,上野小学校,東京都台東区東上野6-16-8,ー,緊急避難場所,ー,鉄筋コンクリート,35.713688,139.783112
8,田原小学校,東京都台東区雷門1-5-14,ー,緊急避難場所,ー,鉄筋コンクリート,35.710236,139.793045
9,浅草小学校,東京都台東区花川戸1-14-15,ー,緊急避難場所,ー,鉄筋コンクリート,35.713947,139.799438
10,千束小学校,東京都台東区浅草4-24-11,ー,緊急避難場所,ー,鉄筋コンクリート,35.719379,139.793869
11,石浜小学校,東京都台東区清川1-14-21,ー,緊急避難場所,ー,鉄筋コンクリート,35.725018,139.80423
12,東泉小学校,東京都台東区三ノ輪1-23-9,ー,緊急避難場所,ー,鉄筋コンクリート,35.728325,139.791946
13,浅草中学校,東京都台東区蔵前1-3-4,ー,緊急避難場所,ー,鉄筋コンクリート,35.699577,139.789902
14,御徒町台東中学校,東京都台東区台東4-13-16,ー,緊急避難場所,ー,鉄筋コンクリート,35.707054,139.777481
15,上野中学校,東京都台東区上野桜木1-14-55,ー,緊急避難場所,ー,鉄筋コンクリート,35.721287,139.775253
16,蔵前小学校,東京都台東区蔵前4-19-11,ー,緊急避難場所,ー,鉄筋コンクリート,35.70462,139.789398
17,駒形中学校,東京都台東区北上野2-15-1,ー,緊急避難場所,ー,鉄筋コンクリート,35.717178,139.784317
18,台東区役所,東京都台東区東上野4-5-6,ー,ー,緊急滞在施設,鉄筋コンクリート,35.712452,139.77977
19,台東区民会館,東京都台東区花川戸2-6-5,ー,ー,緊急滞在施設,鉄筋コンクリート,35.714359,139.798386
