"年度[西暦]","学校屋内プール開放 港南小[人]","学校屋内プール開放 本村小[人]","学校屋内プール開放 赤坂小[人]","学校屋内プール開放 御成門中[人]","学校屋内プール開放 高松中[人]","学校屋内プール開放 高陵中[人]","学校屋内プール開放 お台場学園港陽中[人]","夏休み学校プール開放 学校数[校]","夏休み学校プール開放 利用者数[人]"
"2018","7608","12965","17205","7518","8262","6891","2938","2","194"
"2019","6074","11318","16109","6668","7563","5800","1617","2","172"
"2020","5921","3957","7310","3353","4240","4255","2041",,
"2021","7064","11459","8260","5026","5918","6364","2610",,
"2022","7203","12988","13103","7889","5787","6501","3594",,

"令和5年度港区行政資料集　施設利用状況一覧 プール開放利用者数","Ver202303",,,,,,,,
