"年度[西暦]","放課ＧＯ→みた[人]","放課ＧＯ→おだいば[人]","放課ＧＯ→クラブおなりもん[人]","放課ＧＯ→クラブしば[人]","放課ＧＯ→クラブあかばね[人]","放課ＧＯ→クラブしばうら[人]","放課ＧＯ→クラブしろかねのおか[人]","放課ＧＯ→クラブしろかね[人]","放課ＧＯ→クラブたかなわだい[人]","放課ＧＯ→クラブこうなん[人]","放課ＧＯ→クラブあざぶ[人]","放課ＧＯ→クラブなんざん[人]","放課ＧＯ→クラブほんむら[人]","放課ＧＯ→クラブこうがい[人]","放課ＧＯ→クラブひがしまち[人]","放課ＧＯ→クラブあかさか[人]","放課ＧＯ→クラブあおやま[人]","放課ＧＯ→クラブせいなん[人]","放課ＧＯ→クラブしばはま[人]","参加者数（延べ人数）合計[人]"
"2018","12159","5747","11142","20904","11779","13944","22044","12414",,"9086","10810","11409","6614","19507","12344","12559","13249","21813",,"227524"
"2019","13383","5243","11337","23090","12386","12819","19605","14792",,"10054","11814","12233","6426","18234","12276","12898","9778","21145",,"227513"
"2020",,,"5354","14757","3935","4000","11415","6087","4958","4359","4194","4695","3276","9219","3259","3703","3159","10960",,"97330"
"2021",,,"6062","18491","4814","5176","13640","6278","6372","6157","6195","7279","6716","14443","4397","5271","4093","15610",,"130994"
"2022","9822","5112","12998","26571","10193","8561","17699","12847","12126","11117","13489","11063","9969","20960","9835","16599","5252","22787","22097","259097"

"令和5年度港区行政資料集　放課GO→・放課GO→クラブ事業実施状況","Ver202303",,,,,,,,,,,,,,,,,,,
