都道府県別 ・ 男女別，立川市への転入者数,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
地　　域,2014年総数,2014年男,2014年女,2015年総数,2015年男,2015年女,2016年総数,2016年男,2016年女,2017年総数,2017年男,2017年女,2018年総数,2018年男,2018年女,2019年総数,2019年男,2019年女,2020年総数,2020年男,2020年女,2021年総数,2021年男,2021年女
総数,"11,141","5,749","5,392","11,358","6,105","5,253","11,751","6,208","5,543","12,027","6,369","5,658","12,308","6,420","5,888","11,581","6,175","5,406","11,302","6,027","5,275","11,202","5,740","5,462"
北海道,164,85,79,190,96,94,179,107,72,152,79,73,171,87,84,180,98,82,151,91,60,161,90,71
青森県,69,38,31,63,35,28,85,42,43,77,47,30,52,26,26,50,26,24,56,30,26,69,32,37
岩手県,43,15,28,39,19,20,62,31,31,45,18,27,61,25,36,45,24,21,48,22,26,36,15,21
宮城県,88,48,40,121,60,61,111,51,60,122,67,55,104,56,48,94,57,37,96,48,48,99,50,49
秋田県,27,12,15,37,16,21,45,20,25,30,17,13,35,13,22,22,15,7,33,15,18,25,10,15
山形県,42,19,23,37,24,13,32,15,17,33,14,19,43,25,18,39,19,20,27,12,15,26,12,14
福島県,84,33,51,66,40,26,90,49,41,81,41,40,76,40,36,61,36,25,73,41,32,80,38,42
茨城県,124,62,62,131,65,66,109,67,42,119,67,52,130,66,64,133,67,66,101,62,39,111,44,67
栃木県,83,42,41,111,63,48,91,47,44,78,51,27,107,62,45,94,55,39,78,40,38,89,47,42
群馬県,86,35,51,92,44,48,83,50,33,86,46,40,101,55,46,90,49,41,58,32,26,85,47,38
埼玉県,598,351,247,596,314,282,648,334,314,716,399,317,646,358,288,689,380,309,710,380,330,694,361,335
千葉県,395,223,172,469,275,194,424,229,195,389,233,156,419,233,186,421,233,188,376,236,140,402,214,186
東京都,"6,359","3,262","3,097","6,142","3,252","2,890","6,466","3,362","3,104","6,494","3,363","3,131","6,475","3,313","3,162","6,028","3,073","2,955","6,397","3,393","3,004","6,575","3,364","3,211"
東京都（区部）,"1,561",862,699,"1,656",915,741,"1,655",898,757,"1,720",934,786,"1,969","1,056",913,"1,735",910,825,"2,122","1,139",983,"2,157","1,142","1,015"
東京都（市部）,"4,798","2,399","2,399","4,486","2,337","2,149","4,811","2,464","2,347","4,774","2,429","2,345","4,506","2,257","2,249","4,293","2,163","2,130","4,275","2,254","2,021","4,418","2,222","2,196"
神奈川県,721,412,309,863,498,365,805,455,350,866,505,361,927,513,414,767,440,327,791,435,356,718,394,324
新潟県,105,46,59,109,56,53,90,42,48,106,52,54,91,43,48,97,52,45,90,44,46,88,39,49
富山県,27,8,19,32,15,17,28,13,15,17,8,9,21,10,11,20,14,6,28,12,16,17,14,3
石川県,17,11,6,31,18,13,36,18,18,39,20,19,28,12,16,26,18,8,56,32,24,32,18,14
福井県,11,4,7,16,6,10,12,4,8,20,12,8,24,12,12,15,7,8,23,12,11,16,7,9
山梨県,107,52,55,134,80,54,142,80,62,105,58,47,117,53,64,128,67,61,103,54,49,103,50,53
長野県,102,54,48,131,60,71,112,53,59,108,58,50,122,66,56,124,65,59,102,56,46,121,60,61
岐阜県,33,15,18,42,27,15,41,23,18,49,21,28,43,20,23,34,19,15,40,23,17,43,23,20
静岡県,169,87,82,199,108,91,154,83,71,171,101,70,159,102,57,168,97,71,151,83,68,156,83,73
愛知県,140,71,69,168,99,69,188,100,88,177,103,74,187,108,79,202,123,79,178,85,93,183,89,94
三重県,23,8,15,35,18,17,37,23,14,33,13,20,51,26,25,34,23,11,23,14,9,52,26,26
滋賀県,46,26,20,18,14,4,13,7,6,26,14,12,32,19,13,21,12,9,19,8,11,28,20,8
京都府,38,20,18,64,39,25,40,23,17,56,24,32,90,45,45,48,25,23,58,27,31,66,31,35
大阪府,149,94,55,138,81,57,155,84,71,205,124,81,162,93,69,202,112,90,179,101,78,168,89,79
兵庫県,79,44,35,117,62,55,95,56,39,112,63,49,108,59,49,105,61,44,102,52,50,96,51,45
奈良県,9,6,3,8,3,5,24,15,9,19,12,7,27,12,15,15,10,5,10,6,4,27,8,19
和歌山県,9,4,5,7,6,1,14,8,6,20,9,11,8,5,3,8,3,5,11,5,6,12,8,4
鳥取県,14,7,7,6,4,2,9,4,5,14,5,9,10,3,7,8,7,1,13,6,7,11,5,6
