"年度[西暦]","みたて 定員[人]","みたて 入所者数[人]"
"2019","8","7"
"2020","8","6"
"2021","8","4"
"2022","8","5"
"2023","8","8"

"令和5年度港区行政資料集　民間高齢者グループリビング利用状況","Ver202304",
