工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
アスファルト系下地調整材塗り,アスファルト系下地調整材,エマルション系,1,1,3
改質アスファルトシート トーチ張り（露出単層防水用）,,JIS A 6013,1,－,10
仕上塗料,仕上塗料,エマルション系,1,0.3,3
VOC量合計(g/m2),,,,,16.0
VOC削減率(%),,,,,96
