工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
プライマー塗り,プライマー,水性,1,0.15,23
ウレタン樹脂系塗床材塗り,,,1,2,200
表面仕上げ,指定なし,,,－,－
VOC量合計(g/m2),,,,,223
VOC削減率(%),,,,,29
