工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
プライマー塗り,プライマー,水性,1,0.15,45
エポキシ樹脂系塗床材塗り,,※,1,0.3,30
エポキシ樹脂系塗床材塗り,,※,1,0.8,80
VOC量合計(g/m2),,,,,155
VOC削減率(%),,,,,33
