工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
アスファルトプライマー塗り,アスファルトプライマー,エマルション系,1,0.2,2
アスファルトルーフィング 1500 アスファルト流し張り,,JIS A 6005/JIS K 2207,1,1,10
断熱材 アスファルト張付け,,JIS A 9511/JIS K 2207,1,1,10
部分粘着層付改質アスファルト ルーフィングシート張付け,,JIS A 6013,1,－,－
砂付ストレッチルーフィング 800 アスファルト流し張り,,JIS A 6022/JIS K 2207,1,1.2,12
仕上塗料,仕上塗料,エマルション系,1,0.3,3
VOC量合計(g/m2),,,,,37.0
VOC削減率(%),,,,,88
