工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
プライマー塗り,プライマー,水性,1,0.15,23
エポキシ樹脂系塗床材塗り,下塗り塗料,水性※,1,0.15,23
エポキシ樹脂系塗床材塗り,上塗り塗料,水性※,1,0.15,23
VOC量合計(g/m2),,,,,69
VOC削減率(%),,,,,77
