工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
プライマー塗り,プライマー,水性,1,0.15,45
骨材混合ペースト塗り,樹脂：骨材＝１：１,,1,2.5,100
エポキシ樹脂系塗床材塗り,,※,1,0.8,40
VOC量合計(g/m2),,,,,185
VOC削減率(%),,,,,29
