工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
アスファルトプライマー塗り,アスファルトプライマー,エマルション系,1,0.2,2
アスファルトルーフィング 1500 アスファルト流し張り,,JIS A 6005/JIS K 2207,1,1,10
アスファルトルーフィング 1000 アスファルト流し張り,,JIS A 6022/JIS K 2207,1,1,10
アスファルトルーフィング 1000 アスファルト流し張り,,JIS A 6022/JIS K 2207,1,1,10
アスファルトはけ塗り,,JIS K 2207,1,1,10
アスファルトはけ塗り,,JIS K 2207,1,1,10
断熱材,,JIS A 9511,－,－,－
絶縁用シート,,－,－,－,－
保護コンクリート,,－,－,－,－
VOC量合計(g/m2),,,,,52.0
VOC削減率(%),,,,,71
