工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
プライマー塗り,環境対応型プライマー,環境対応・TX フリー型,1,0.2,140
防水用ポリエステル樹脂塗り,環境対応型防水樹脂,環境対応・ノンスチレン型 JASS8 M-101,1,0.4,4
防水用ガラスマット＃３８０張付け 防水用ポリエステル樹脂塗り,防水用ガラスマット＃３８０ 環境対応型防水樹脂,環境対応・ノンスチレン型 JASS8 M-102 /JASS8 M-101,1,1.4,14
防水用ガラスマット＃３８０張付け 防水用ポリエステル樹脂塗り,防水用ガラスマット＃３８０ 環境対応型防水樹脂,環境対応・ノンスチレン型 JASS8 M-102 /JASS8 M-101,1,1.4,14
防水用ポリエステル樹脂塗り（トナー入り）,環境対応型防水樹脂,環境対応・ノンスチレン型 JASS8 M-101,1,0.4,4
歩行用仕上塗料塗り,環境対応型歩行用仕上塗料,環境対応・ノンスチレン型,1,0.4,4
VOC量合計(g/m2),,,,,180.0
VOC削減率(%),,,,,61
