工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
プライマー塗り,プライマー,エマルション系,1,0.2,2
断熱材張付け,断熱材張付け材,エマルション系,1,1.5,4.5
部分粘着層付改質アスファルトシート,,JIS A 6013,1,－,－
改質アスファルトシート トーチ張り（露出複層防水用）,,JIS A 6013,1,－,10
仕上塗料,仕上塗料,エマルション系,1,0.3,3
VOC量合計(g/m2),,,,,19.5
VOC削減率(%),,,,,97
