工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
プライマー塗り,ゴム系ﾌﾟﾗｲﾏｰ,有機溶剤系,1,0.2,186
接着剤塗布,ゴム系接着剤,有機溶剤系,1,0.2,154
加硫ゴム系ルーフィングシート張付け,接着剤付加硫ゴムシート,JIS A 6008,－,－,－
接合部の接着剤塗布,ゴム系接着剤,有機溶剤系,1,0.02,15.4
仕上塗料,ゴム系仕上塗料,ｴﾏﾙｼｮﾝ系,1,0.25,2.5
VOC量合計(g/m2),,,,,357.9
VOC削減率(%),,,,,51
