シーリング材の種類 主成分・硬化機構,シーリング材の種類 記号,清掃溶剤からのVOC,プライマーからのVOC 推奨プライマー揮発分（=VOC 含有量）,プライマーからのVOC 標準塗布量 100g/m2 ～多孔質200g/m2／幅15×深さ10mm の目地として
２成分形シリコーン系,SR-2,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,60～95%,3.2～6.3g/m（揮発分 90%）
１成分形シリコーン系,SR-1,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,60～95%,3.2～6.3g/m（揮発分 90%）
２成分形変成シリコーン系,MS-2,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,60～95%,2.5～5.0g/m（揮発分 70%）
１成分形変成シリコーン系,MS-1,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,60～95%,2.5～5.0g/m（揮発分 70%）
２成分形ポリサルファイド系,PS-2,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,60～95%,2.5～5.0g/m（揮発分 70%）
１成分形ポリサルファイド系,PS-1,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,60～95%,2.5～5.0g/m（揮発分 70%）
２成分形アクリルウレタン系,UA-2,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,60～95%,2.5～5.0g/m（揮発分 70%）
２成分形ポリウレタン系,PU-2,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,60～95%,2.5～5.0g/m（揮発分 70%）
１成分形ポリウレタン系,PU-1,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,60～95%,2.5～5.0g/m（揮発分 70%）
１成分形アクリル系,AC-1,50g/m2使用と仮定 幅 15×深さ10mm の目地として 1.8g/m,（水系）,0g/m
