工程,材料,材料,塗り回数,使用量(kg/m2),VOC(g/m2)
プライマー塗り,プライマー,水性,1,0.15,45
タックコート,,,1,0.3,24
樹脂モルタル塗り,樹脂：骨材＝１：6,,1,7,80
目止め,,,1,0.3,45
エポキシ樹脂系塗床材塗り,,※,1,0.8,80
VOC量合計(g/m2),,,,,274
VOC削減率(%),,,,,21
