"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","備考"
"麻布東ルート","港区役所","68-2","港区役所北","7:18","7:48","8:18","8:48","9:18","9:48","10:18","10:48","11:18","11:48","12:18","12:48","13:18","13:48","14:18","14:48","15:18","15:48","16:18","16:48","17:18","17:48","18:18","18:48","19:18","19:48","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","78","御成門駅","7:20","7:50","8:20","8:50","9:20","9:50","10:20","10:50","11:20","11:50","12:20","12:50","13:20","13:50","14:20","14:50","15:20","15:50","16:20","16:50","17:20","17:50","18:20","18:50","19:20","19:50","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","78-3","神谷町駅前","7:22","7:52","8:22","8:52","9:22","9:52","10:22","10:52","11:22","11:52","12:22","12:52","13:22","13:52","14:22","14:52","15:22","15:52","16:22","16:52","17:22","17:52","18:22","18:52","19:22","19:52","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","199","虎ノ門五丁目","7:24","7:54","8:24","8:54","9:24","9:54","10:24","10:54","11:24","11:54","12:24","12:54","13:24","13:54","14:24","14:54","15:24","15:54","16:24","16:54","17:24","17:54","18:24","18:54","19:24","19:54","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","200","東麻布一丁目（東京タワー下）","7:26","7:56","8:26","8:56","9:26","9:56","10:26","10:56","11:26","11:56","12:26","12:56","13:26","13:56","14:26","14:56","15:26","15:56","16:26","16:56","17:26","17:56","18:26","18:56","19:26","19:56","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","201","赤羽橋駅前","7:30","8:00","8:30","9:00","9:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:00","16:30","17:00","17:30","18:00","18:30","19:00","19:30","20:00","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","87","東麻布二丁目","7:31","8:01","8:31","9:01","9:31","10:01","10:31","11:01","11:31","12:01","12:31","13:01","13:31","14:01","14:31","15:01","15:31","16:01","16:31","17:01","17:31","18:01","18:31","19:01","19:31","20:01","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","89","法務局前","7:34","8:04","8:34","9:04","9:34","10:04","10:34","11:04","11:34","12:04","12:34","13:04","13:34","14:04","14:34","15:04","15:34","16:04","16:34","17:04","17:34","18:04","18:34","19:04","19:34","20:04","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","90","飯倉片町","7:37","8:07","8:37","9:07","9:37","10:07","10:37","11:07","11:37","12:07","12:37","13:07","13:37","14:07","14:37","15:07","15:37","16:07","16:37","17:07","17:37","18:07","18:37","19:07","19:37","20:07","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","91","六本木五丁目","7:38","8:08","8:38","9:08","9:38","10:08","10:38","11:08","11:38","12:08","12:38","13:08","13:38","14:08","14:38","15:08","15:38","16:08","16:38","17:08","17:38","18:08","18:38","19:08","19:38","20:08","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","18","麻布地区総合支所前","7:39","8:09","8:39","9:09","9:39","10:09","10:39","11:09","11:39","12:09","12:39","13:09","13:39","14:09","14:39","15:09","15:39","16:09","16:39","17:09","17:39","18:09","18:39","19:09","19:39","20:09","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","19","東洋英和女学院前","7:40","8:10","8:40","9:10","9:40","10:10","10:40","11:10","11:40","12:10","12:40","13:10","13:40","14:10","14:40","15:10","15:40","16:10","16:40","17:10","17:40","18:10","18:40","19:10","19:40","20:10","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","14-2","鳥居坂下","7:42","8:12","8:42","9:12","9:42","10:12","10:42","11:12","11:42","12:12","12:42","13:12","13:42","14:12","14:42","15:12","15:42","16:12","16:42","17:12","17:42","18:12","18:42","19:12","19:42","20:12","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","15","六本木けやき坂","7:44","8:14","8:44","9:14","9:44","10:14","10:44","11:14","11:44","12:14","12:44","13:14","13:44","14:14","14:44","15:14","15:44","16:14","16:44","17:14","17:44","18:14","18:44","19:14","19:44","20:14","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
