,5年度金額（千円）,5年度構成比（％）,12年度金額（千円）,12年度構成比（％）,増減金額（千円）,増減増減率（％）
基本水量内,21616084,7.8,34387700,10.5,12771616,59.1
基本水量超,256450326,92.2,292266630,89.5,35816304,14
計,278066410,100,326654330,100,48587920,17.5
