,H22.11（震災前）（％）,H23.7（震災後）（％）
貯水池や浄水場などの水道施設の耐震化の実施,46.4,54.1
給水所の整備や送配水管ネットワークの構築を進め、震災時に水が使えない区域を最小限にすること,57.1,68.9
耐震性に優れた水道管への取替促進,54.4,61.2
