項目,15年度,18年度,備考
複層林の構成率/人工林において、森林機能の向上が図れる複層林の構成率（％）,3.9,4.4,
自然エネルギーによる発電容量/太陽光等の自然エネルギーによる発電容量（kW）,1600,6800,
浄水場発生土の有効利用率/浄水処理過程で生じる発生土の有効利用率（％）,68,88,
二酸化炭素総排出量の低減率/局事業から発生する二酸化炭素総排出量の低減（％）,2,2,平成2年度比低減
