アンケート結果（水の大切さを知るコース）,合計,第１回,第４回,第５回
とてもためになった,28,13,6,9
ためになった,18,5,6,7
あまりためにならなかった,0,0,0,0
ためにならなかった,0,0,0,0
未回答,4,0,3,1
