料金区分／需要種別,基本料金（円）,従量料金1～5m3,従量料金6～10m3,従量料金11～20m3,従量料金21～30m3,従量料金31～50m3,従量料金51～100m3,従量料金101～200m3,"従量料金201～1,000m3","従量料金1,001m3～"
一般用13mm,860,0円,1m3につき22円,1m3につき128円,1m3につき163円,1m3につき202円,1m3につき213円,1m3につき298円,1m3につき372円,1m3につき404円
一般用20mm,1170,0円,1m3につき22円,1m3につき128円,1m3につき163円,1m3につき202円,1m3につき213円,1m3につき298円,1m3につき372円,1m3につき404円
一般用25mm,1460,0円,1m3につき22円,1m3につき128円,1m3につき163円,1m3につき202円,1m3につき213円,1m3につき298円,1m3につき372円,1m3につき404円
一般用30mm,3435,1m3につき213円,1m3につき213円,1m3につき213円,1m3につき213円,1m3につき213円,1m3につき213円,1m3につき298円,1m3につき372円,1m3につき404円
一般用40mm,6865,1m3につき213円,1m3につき213円,1m3につき213円,1m3につき213円,1m3につき213円,1m3につき213円,1m3につき298円,1m3につき372円,1m3につき404円
一般用50mm,20720,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき404円
一般用75mm,45623,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき372円,1m3につき404円
一般用100mm,94568,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円
一般用150mm,159094,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円
一般用200mm,349434,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円
一般用250mm,480135,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円
一般用300mm以上,816145,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円,1m3につき404円
公衆浴場用,（注）参照,0円,1m3につき22円,1m3につき109円,1m3につき109円,1m3につき109円,1m3につき109円,1m3につき109円,1m3につき109円,1m3につき109円
