,5年度（％）,12年度（％）
1～10ｍ3,8.6,10.6
11～20ｍ3,17.4,19.9
21～30ｍ3,19.4,19.9
31～100ｍ3,28.3,25.1
101～200ｍ3,3.7,3.2
201～1000ｍ3,9.1,8.7
1001ｍ3～,13.5,12.6
