水系,浄水場,処理能力（m3/日）,比率（％）浄水場別,比率（％）水系別,処理方法
利根川・荒川水系,金町,1500000,21.9,79.9,急速ろ過方式・高度浄水処理（150万m3）
利根川・荒川水系,三郷,1100000,16,79.9,急速ろ過方式・高度浄水処理（110万m3）
利根川・荒川水系,朝霞,1700000,24.8,79.9,急速ろ過方式・高度浄水処理（170万m3）
利根川・荒川水系,三園,300000,4.4,79.9,急速ろ過方式・高度浄水処理（30万m3）
利根川・荒川水系,東村山,880000,18.4,79.9,急速ろ過方式・高度浄水処理（88万m3）
多摩川水系,東村山,385000,18.4,17,急速ろ過方式
多摩川水系,小作,280000,4.1,17,急速ろ過方式
多摩川水系,境,315000,4.6,17,緩速ろ過方式
多摩川水系,砧,114500,1.7,17,緩速ろ過方式・膜ろ過方式
多摩川水系,砧下,70000,1,17,緩速ろ過方式・膜ろ過方式
多摩川水系,玉川,-152500,-,17,緩速ろ過方式・急速ろ過方式
相模川水系,長沢,200000,2.9,2.9,急速ろ過方式
地下水,杉並,15000,0.2,0.2,消毒のみ
計,,6859500,100,100,-
