施設,完成年月,経過年数
小河内貯水池,32,56
秋ヶ瀬取水堰,40,48
矢木沢ダム,42,46
利根大堰,42,46
武蔵水路（改築中）,42,46
下久保ダム,43,45
利根川河口堰,46,42
草木ダム,51,37
朝霞水路（改築）,56,32
奈良俣ダム,2,23
浦山ダム,10,15
北千葉導水路,11,14
