水道水への信頼度及び飲み水としての満足度,（％）
水道水への信頼度安心H22.7～8（震災前）,78.5
水道水への信頼度安心H23.8（震災後）,70.4
水道水への信頼度満足H22.7～8（震災前）,18.0
水道水への信頼度満足H23.8（震災後）,27.7
飲み水としての満足度不安H22.7～8（震災前）,76.9
飲み水としての満足度不安H23.8（震災後）,71.2
飲み水としての満足度不満H22.7～8（震災前）,17.8
飲み水としての満足度不満H23.8（震災後）,25.1
