事業期間,都市,事業内容
平成25年６月～平成28年５月,デリー（インド）,現地における水道運営・維持管理能力強化のための技術指導など
平成26年１月～平成28年11月,ペナン（マレーシア）,無収水※対策のための研修フィールド整備など
平成26年10月～平成27年３月,ヤンゴン（ミャンマー）,無収水対策のための配水管の取替や水道メータの取付けなど
平成27年６月～平成32年６月,ヤンゴン（ミャンマー）,現地における水道運営・維持管理能力強化のための技術指導など
