,器材名,仕様,数量,単位,税込価格,税抜価格,消費税,使用例
1,切管用挿し口リング（ＮS形）,Φ100,1,個,6600,6000,600,「配水小管配管実技」等／ＮＳ管挿し口加工
2,防食ゴム（ＮS形）,Φ100,1,個,1210,1100,110,「配水小管配管実技」等／ＮＳ管挿し口加工
3,防食ゴム用カバーリング（ＮS形）,Φ100,1,個,1980,1800,180,「配水小管配管実技」等／ＮＳ管挿し口加工
4,ダクタイル鋳鉄管直管（Ｋ形）,3種管Φ100×4ｍ内面粉体,1,本,24310,22100,2210,給水管分岐せん孔（10か所/本程度）
5,人工液体空気,,10,L,4620,4200,420,給水管補修止水用（目安10Ｌ/回程度）
6,波状ステンレス管,SUS31620mm,1,ｍ,3190,2900,290,給水管せん孔
