年度,年度,生活用水（万m3/日）,都市活動用水（万m3/日）,工場用水（万m3/日）,一日平均使用水量（万m3/日）,一日最大配水量（万m3/日）
S42,42,127.0,97.2,27.2,251.4,454.6
S43,,140.8,103.6,27.2,271.6,483.3
S44,44,157.9,110.7,28.4,297.0,530.9
S45,,176.8,117.7,28.5,323.0,569.7
S46,46,194.5,123.1,27.2,344.8,601.2
S47,,207.8,127.2,25.7,360.7,586.7
S48,48,216.7,130.4,24.7,371.8,627.1
S49,,218.4,131.6,22.3,372.3,617.7
S50,50,227.4,136.8,21.0,385.2,620.2
S51,,223.4,131.5,19.3,374.2,594.9
S52,52,230.3,135.3,18.7,384.3,636.9
S53,,236.6,136.2,17.7,390.5,644.7
S54,54,232.1,131.4,16.0,379.5,596.8
S55,,228.1,125.6,14.3,368.0,581.5
S56,56,235.5,127.0,13.5,376.0,611.9
S57,,238.8,124.8,12.9,376.5,586.1
S58,58,243.9,126.4,12.6,382.9,596.9
S59,,250.9,128.8,12.5,392.2,595.0
S60,60,253.8,127.6,11.9,393.3,589.8
S61,,258.7,127.4,11.8,397.9,601.1
S62,62,260.6,126.6,11.5,398.7,565.7
S63,,267.5,128.9,11.5,407.9,558.1
H元,元,275.1,134.6,11.5,421.2,566.8
H2,,280.9,137.1,11.4,429.4,613.3
H3,3,284.7,137.4,11.4,433.5,596.0
H4,,290.7,137.2,11.4,439.3,617.0
H5,5,291.0,132.9,11.2,435.1,591.3
H6,,291.6,131.4,11.2,434.2,589.6
H7,7,289.6,128.8,10.9,429.3,576.1
H8,,291.0,125.6,10.4,427.0,576.7
H9,9,292.9,125.0,10.0,427.9,559.5
H10,,294.6,122.7,9.5,426.8,549.7
H11,11,295.8,121.8,9.0,426.6,534.6
H12,,297.9,121.1,8.6,427.6,519.8
H13,13,298.4,119.1,7.8,425.3,538.6
H14,,299.6,117.6,7.1,424.3,519.0
H15,15,298.7,115.7,6.6,421.0,505.9
H16,,302.7,117.5,6.7,426.9,521.9
H17,17,303.0,116.4,6.5,425.9,508.4
H18,,304.4,115.8,6.2,426.4,504.8
H19,19,305.2,115.9,5.8,426.9,497.3
H20,,304.0,113.5,5.1,422.6,492.4
H21,21,302.0,112.9,4.9,419.8,495.0
H22,,303.6,114.3,4.8,422.7,490.3
