月,電力供給量（ＭＷh）,蒸気供給量(GJ)
4,4528,3596
5,3740,1104
6,4083,1363
7,4118,1230
8,3741,1483
9,3626,1423
10,3866,1574
11,4406,3849
12,4781,4861
1,4607,4981
2,4802,4142
3,5003,3690
年合計,51301,33296
