月,電力供給量（ＭＷh）,蒸気供給量(GJ)
4,4331,6538
5,3663,2008
6,3984,2478
7,4028,2237
8,3633,2697
9,3523,2587
10,3821,2862
11,4245,6998
12,4434,8838
1,4262,9056
2,4507,7531
3,4763,6708
年合計,49195,60538
