,時間,当日,平均（6月1日・5月25日・18日)
1,8:00,159855,161093
2,8:01,160361,163377
3,8:02,161528,164407
4,8:03,161922,165013
5,8:04,164349,167337
6,8:05,165360,168951
7,8:06,166489,168898
8,8:07,167852,168744
9,8:08,166264,168171
10,8:09,166162,168616
11,8:10,164232,168055
12,8:11,163898,169174
13,8:12,165191,168541
14,8:13,166296,169247
15,8:14,165984,169340
16,8:15,168026,170206
17,8:16,169320,169358
18,8:17,170033,167417
19,8:18,168712,167438
20,8:19,168220,166522
21,8:20,168894,167179
22,8:21,170221,167181
23,8:22,170860,167104
24,8:23,171104,167594
25,8:24,170635,168360
26,8:25,171821,169031
27,8:26,173695,168908
28,8:27,173444,169436
29,8:28,173154,168629
30,8:29,175232,169258
31,8:30,175061,170122
32,8:31,174927,171833
33,8:32,175399,172115
34,8:33,176275,172595
35,8:34,176211,173527
36,8:35,177243,173528
37,8:36,176640,173539
38,8:37,175834,172959
39,8:38,175777,172790
40,8:39,175966,172827
41,8:40,175942,173413
42,8:41,176871,173645
43,8:42,175778,173565
44,8:43,175524,174739
45,8:44,175846,175435
46,8:45,177231,173649
47,8:46,177148,173609
48,8:47,175730,173130
49,8:48,178513,172693
50,8:49,178853,172984
51,8:50,180984,172755
52,8:51,183955,171181
53,8:52,184689,169957
54,8:53,186255,170169
55,8:54,185890,169702
56,8:55,186083,168943
57,8:56,186371,169022
58,8:57,188044,170340
59,8:58,188803,171097
60,8:59,189026,172052
61,9:00,190612,172253
62,9:01,192029,172867
63,9:02,194673,175056
64,9:03,198334,177353
65,9:04,195803,178813
66,9:05,196633,177242
67,9:06,196097,177209
68,9:07,197430,176360
69,9:08,197049,175455
70,9:09,197857,174163
71,9:10,196690,173121
72,9:11,196961,172975
73,9:12,194771,172426
74,9:13,193805,173258
75,9:14,194924,173745
76,9:15,194655,173017
77,9:16,193216,173052
78,9:17,192853,172638
79,9:18,193703,173395
80,9:19,193183,173965
81,9:20,193323,174683
82,9:21,193418,174911
83,9:22,193520,175278
84,9:23,194318,175570
85,9:24,195082,174973
86,9:25,196287,175038
87,9:26,194681,174119
88,9:27,195504,173707
89,9:28,197286,173892
90,9:29,197722,175736
91,9:30,199012,176706
92,9:31,198152,176106
93,9:32,199148,177773
