年度,年齢,比率（％）
12,６５歳以上,15.8
12,１５～６４歳,72.0
12,０～１４歳,11.8
17,６５歳以上,18.2
17,１５～６４歳,70.3
17,０～１４歳,11.5
22,６５歳以上,20.6
22,１５～６４歳,68.0
22,０～１４歳,11.4
27,６５歳以上,23.2
27,１５～６４歳,65.6
27,０～１４歳,11.2
32,６５歳以上,24.0
32,１５～６４歳,65.2
32,０～１４歳,10.8
