改革提案分類,件数
都民ファースト提案事業改革,103
都民ファースト提案事務改善,119
都民ファースト提案内部統制,30
都民ファースト提案合計,252
都民ファースト取組案件事業改革,34
都民ファースト取組案件事務改善,46
都民ファースト取組案件内部統制,11
都民ファースト取組案件合計,93
情報公開提案事業改革,
情報公開提案事務改善,47
情報公開提案内部統制,
情報公開提案合計,70
情報公開取組案件事業改革,7
情報公開取組案件事務改善,26
情報公開取組案件内部統制,4
情報公開取組案件合計,37
ワイズスペンディング提案事業改革,92
ワイズスペンディング提案事務改善,287
ワイズスペンディング提案内部統制,45
ワイズスペンディング提案合計,424
ワイズスペンディング取組案件事業改革,36
ワイズスペンディング取組案件事務改善,163
ワイズスペンディング取組案件内部統制,20
ワイズスペンディング取組案件合計,219
危機管理提案事業改革,28
危機管理提案事務改善,26
危機管理提案内部統制,9
危機管理提案合計,63
危機管理取組案件事業改革,11
危機管理取組案件事務改善,11
危機管理取組案件内部統制,6
危機管理取組案件合計,28
取組案件数,377
総件数,809
