ダム名,貯水容量（万m3）,貯水量（万m3）,貯水率(%),前日増減（万m3）
小河内貯水池,18540（18540）,15940.4,86.0,3.9
村山・山口貯水池,3435（3258）,2737.7,79.6,17.5
以上合計,21975（21798）,18678.1,85.0,21.4
前年同日量,,17423.5,79.3,-
前々年同日量,,19122.5,87.0,-
