地域,国,受入人数
アジア,中国,10
アジア,マレーシア,5
アジア,タイ,4
アジア,カンボジア,3
アジア,韓国,3
アジア,ミャンマー,2
アジア,その他8か国,11
アフリカ,南アフリカ,15
アフリカ,エチオピア,5
アフリカ,その他9か国,11
中東,クウェート,10
中東,その他6か国,7
中南米,ニカラグアその他2か国,14
北米,米国,1
,合計,101
