,年度,開催地,テーマ
第１回,H20,東京,人材育成
第２回,H21,韓国・ソウル,人材育成
第３回,H22,台湾・台北,人材育成
第４回,H23,東京,技術の継承
第５回,H24,台湾・高雄,無収水管理
第６回,H25,韓国・テジョン,エキスパートの育成
第７回,H26,タイ・バンコク,(1)水道水の信頼を高める取組/(2)技術的優良事例の紹介
第８回,H27,東京,人材育成
第９回,H28,韓国・ソウル,(1)危機管理強化に向けた人材育成/(2)環境に配慮した水道事業と人材育成
第10回,H29,台湾・台中,(1)安全な水の確保に向けた水質監視・調査と人材育成/(2)給水管理高度化に向けたIT技術の活用と人材育成
第11回,H30,東京,(1)水道事業に必要な人材の配置と育成方針/(2)国際的な人材の確保と育成
