,5年度水量（千m3）,5年度構成比（％）,12年度水量（千m3）,12年度構成比（％）,増減水量（千m3）,増減増減率（％）
基本水量内,121713,8.3,155379,10.6,33666,27.7
基本水量超,1343223,91.7,1313973,89.4,△29250,△2.2
計,1464936,100,1469352,100,4416,0.3
