月,電力供給量（ＭＷh）,蒸気供給量(GJ)
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,3895,795
11,4493,1945
12,4976,2457
1,4768,2518
2,4968,2094
3,5128,1866
年合計,28229,11675
