力を入れてほしい震災対策,（％）
貯水池や浄水場などの水道施設の耐震化の実施H22.11（震災前）,46.4
貯水池や浄水場などの水道施設の耐震化の実施H23.7（震災後）,54.1
給水所の整備や送配水管ネットワークの構築を進め、震災時に水が使えない区域を最小限にすることH22.11（震災前）,57.1
給水所の整備や送配水管ネットワークの構築を進め、震災時に水が使えない区域を最小限にすることH23.7（震災後）,68.9
耐震性に優れた水道管への取替促進H22.11（震災前）,54.4
耐震性に優れた水道管への取替促進H23.7（震災後）,61.2
