年度・種別,（千kg）
H20ごみ排出量,308
H20リサイクル率,39
H21ごみ排出量,255
H21リサイクル率,48
H22ごみ排出量,211
H22リサイクル率,53
H23ごみ排出量,206
H23リサイクル率,54
