年度,,27（2015）,28（2016）,29（2017）,30（2018）,31（2019）,備考
エネルギー起源CO2排出量原単位,,0.157,0.155,0.1559,0.1597,,
活動規模の指標,生産量,,,,,,
活動規模の指標,原水連絡＋総配水量＋三園導水量（千ｍ3）,540677,551383,563828,569024,,
,,,,,,,CO2換算（ｔ-CO2/指標）
