,水源量（万m3/日）,備考
安定水源,536,水源施設が完成しており、取水の安定性が高い。
課題を抱える水源,82,
課題を抱える水源中川・江戸川緊急暫定,44,慢性的な渇水時の緊急措置として暫定的に許可を受けたもの
課題を抱える水源砧上・砧下,18,河床の低下により伏流水の取水に支障が生じている。
課題を抱える水源相模川（分水）,20,１年ごとの協定締結により分水を受けており、取水の安定性は神奈川県内の水事情に影響される。
不安定水源,12,水源施設が完成していないため、河川の流況が悪化した場合、他の水源に先駆けて取水が制限（霞ヶ浦導水）
合計,630,
