区分,5年度調定水量（千ｍ3）,12年度調定水量（千ｍ3）,増減調定水量（千ｍ3）
小口径群13～25mm,1123709,1146448,22739
中口径群30、40mm,120317,113923,△6394
大口径群50、75mm,114853,107102,△7751
特大口径群100mm～,106057,101879,△4178
計,1464936,1469352,4416
