Ｎｏ,区分番号,大区分名称,中区分名称,対策概要,実施年度,推計削減量(t)(一年度当たり）
1,360700,ポンプ、ファン、ブロワー、コンプレッサー等,36_電気の動力・熱等への変換の合理化に関する措置,原水連絡ポンプの速度制御方式の変更,26以前,3059
2,360700,ポンプ、ファン、ブロワー、コンプレッサー等,36_電気の動力・熱等への変換の合理化に関する措置,導水ポンプの速度制御方式の変更,28,2159
3,360700,ポンプ、ファン、ブロワー、コンプレッサー等,36_電気の動力・熱等への変換の合理化に関する措置,送配水ポンプの速度制御方式の変更,31,2121
4,330200,空気調和設備・換気設備,33_加熱及び冷却並びに伝熱の合理化に関する措置,冷暖房温度の設定・変更,26以前,
5,330200,空気調和設備・換気設備,33_加熱及び冷却並びに伝熱の合理化に関する措置,ブラインドの利用,26以前,
6,330200,空気調和設備・換気設備,33_加熱及び冷却並びに伝熱の合理化に関する措置,空気調和設備の定期的な保守及び点検の実施,26以前,
7,410700,事務用機器,41_電気の動力・熱等への変換の合理化に関する措置,不要時に事務用機器の電源を切る。,26以前,
8,310100,一般管理事項,31_推進体制の整備,地球温暖化対策に関わる推進組織の整備,26以前,
9,380700,照明設備,38_電気の動力・熱等への変換の合理化に関する措置,照明設備を省ＬＥＤに取り替える。,28,41
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
