水源,実施計画着手,完成
矢木沢ダム,S34,S42
下久保ダム,S34,S43
草木ダム,S40,S51
渡良瀬貯水池,S48,H元
奈良俣ダム,S48,H2
浦山ダム,S47,H10
滝沢ダム(建設中),S44,H19（予定）
八ッ場ダム(建設中),S42,H22（予定）
