水系,浄水場,施設能力（m3/日）,浄水場別比率（％）,水系別比率（％）,処理方式
利根川・荒川水系,金町,1500000,21.9,79.9,急速ろ過方式、高度浄水処理
利根川・荒川水系,三郷,1100000,16.0,79.9,急速ろ過方式、高度浄水処理
利根川・荒川水系,朝霞,1700000,24.8,79.9,急速ろ過方式、高度浄水処理
利根川・荒川水系,三園,300000,4.4,79.9,急速ろ過方式、高度浄水処理
利根川・荒川水系,東村山,880000,18.4,79.9,急速ろ過方式、高度浄水処理
多摩川水系,東村山,385000,18.4,17.0,急速ろ過方式
多摩川水系,小作,280000,4.1,17.0,急速ろ過方式
多摩川水系,境,315000,4.6,17.0,緩速ろ過方式
多摩川水系,砧,114500,1.7,17.0,膜ろ過方式、緩速ろ過方式
多摩川水系,砧下,70000,1.0,17.0,膜ろ過方式、緩速ろ過方式
相模川水系,長沢,200000,2.9,2.9,急速ろ過方式
地下水,杉並,15000,0.2,0.2,消毒のみ
