多摩川上流域の森林面積,面積(ha),比率（％）
森林面積,45018,100
水道水源林,22776,51
水道水源林(人工林),6119,27
水道水源林(天然林),16015,70
水道水源林(道路・河川敷等),642,3
その他の森林,22242,49
