年度,27（2015）,28（2016）,29（2017）,30（2018）,31（2019）,備考
エネルギー起源CO2,137719,139727,148054,151774,,
その他ガス,,,,,,
温室効果ガスの合計,137719,139727,148054,151774,,
,,,,,,CO2換算（ｔ-CO2）
