,件数(件),割合（％）
挟まれ・巻き込まれ,52,29
墜落・転落,51,29
飛来・落下,14,8
交通事故,4,2
転倒,27,15
衝突,9,5
崩壊・倒壊,6,4
その他,14,8
計,177,100
