年度,,27（2015）,28（2016）,29（2017）,30（2018）,31（2019）,備考
エネルギー起源CO2排出量原単位,,0.277,0.4502,0.2909,0.3989,,
活動規模の指標,床面積（ｍ2）,3159,3159,3159,3159,,
,,,,,,,CO2換算（ｔ-CO2/指標）
