車種,低公害車区分超台数,低公害車区分優台数,低公害車区分良台数,低公害車台数,低公害車以外台数,合計,低公害車換算導入率（％）
ガソリン車,142,31,27,,434,634,
ディーゼル車,0,0,1,,6,7,
天然ガス自動車,11,,,,0,11,
合計,,,,212,440,652,
低公害車換算導入率,,,,,,,26.5
