年度・種別,（千枚）
H20コピー用紙の使用量,35667
H20印刷物の総枚数,134479
H21コピー用紙の使用量,34418
H21印刷物の総枚数,128540
H22コピー用紙の使用量,33404
H22印刷物の総枚数,115389
H23コピー用紙の使用量,33097
H23印刷物の総枚数,90499
