,水源量（万m3/日）,備考
安定水源,529,
課題を抱える水源,82,
課題を抱える水源中川・江戸川導水路水源,44,緊急暫定水利
課題を抱える水源砧・砧下,18,河床の低下による取水不良
課題を抱える水源相模川（分水）,20,川崎市等からの分水協定を毎年更新
不安定水源※,12,将来、水源施設の完成により安定化の見込み
合計,623,
