年度,,27（2015）,28（2016）,29（2017）,30（2018）,31（2019）,備考
エネルギー起源CO2排出量原単位,,0.1441,0.1394,0.1448,0.1443,,
活動規模の指標,生産量,,,,,,
活動規模の指標,東京送水量＋埼玉取水量（千ｍ3）,360509,378868,409104,413471,,
,,,,,,,CO2換算（ｔ-CO2/指標）
