用途,使い方,使用量,
洗面・手洗い,1分間流しっぱなしの場合,約12リットル,
歯みがき,30秒間流しっぱなしの場合,約6リットル,
食器洗い,5分間流しっぱなしの場合,約60リットル,
洗車,流しっぱなしの場合,約90リットル,
シャワー,3分間流しっぱなしの場合,約36リットル,
