階層コード,地域コード,地域,人口総数／平成25年１月１日,人口総数／平成24年12月１日,人口総数／平成24年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13130762,13136914,13092163,-6152,-0.05,38599,0.29
1,13100,区部,8951575,8956494,8914676,-4919,-0.05,36899,0.41
1,13200,市部,4092197,4093350,4089891,-1153,-0.03,2306,0.06
1,13300,郡部,59187,59205,59472,-18,-0.03,-285,-0.48
1,13350,島部,27803,27865,28124,-62,-0.22,-321,-1.14
,,,,,,,,,
住民基本台帳による世帯と人口_平成25年１月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
