地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13126573,-2995,12740534,6306354,6434180,386039,179628,206411,6629830,6347076,201735,81019
1,13100,区部,8951304,-255,8628045,4260570,4367475,323259,151984,171275,4708759,4472917,172824,63018
1,13200,市部,4088366,-2696,4026401,2002275,2024126,61965,27353,34612,1880548,1834293,28627,17628
2,13300,郡部,59146,-20,58550,29454,29096,596,236,360,25215,24767,197,251
2,13350,島部,27757,-24,27538,14055,13483,219,55,164,15308,15099,87,122
1,13100,区部,8951304,-255,8628045,4260570,4367475,323259,151984,171275,4708759,4472917,172824,63018
4,13101,千代田区,52443,81,49928,24679,25249,2515,1388,1127,29468,27542,1588,338
4,13102,中央区,129122,133,124224,58929,65295,4898,2555,2343,74535,70740,2886,909
4,13103,港区,232178,71,213553,99860,113693,18625,9864,8761,132663,119556,10380,2727
4,13104,新宿区,320502,-161,287897,144006,143891,32605,15802,16803,197650,172361,22028,3261
4,13105,文京区,201487,89,194646,92731,101915,6841,3292,3549,109385,104043,4213,1129
4,13106,台東区,185562,99,173122,88905,84217,12440,5918,6522,106052,96910,7324,1818
4,13107,墨田区,252474,437,243187,122379,120808,9287,3747,5540,133950,127052,4481,2417
4,13108,江東区,480440,251,459947,229153,230794,20493,9332,11161,241046,227805,9255,3986
4,13109,品川区,366488,-35,355975,174669,181306,10513,5031,5482,200808,193197,5314,2297
4,13110,目黒区,265027,138,258224,121306,136918,6803,3589,3214,147286,142011,3757,1518
4,13111,大田区,696691,47,678485,340578,337907,18206,8377,9829,359710,346596,8716,4398
4,13112,世田谷区,861111,228,846510,403550,442960,14601,7447,7154,447834,436436,7596,3802
4,13113,渋谷区,212135,-12,202979,96589,106390,9156,4945,4211,127591,120682,5204,1705
4,13114,中野区,311156,-280,300816,151371,149445,10340,4982,5358,185727,177262,6646,1819
4,13115,杉並区,539570,-280,529320,254459,274861,10250,4934,5316,299254,290922,6105,2227
4,13116,豊島区,268801,4,249882,126082,123800,18919,8967,9952,161068,146109,12719,2240
4,13117,北区,333111,84,319056,158634,160422,14055,6467,7588,178601,168643,7501,2457
4,13118,荒川区,206443,12,191196,95722,95474,15247,7071,8176,105758,95480,8054,2224
4,13119,板橋区,537146,-160,521043,259371,261672,16103,7001,9102,279610,267728,8262,3620
4,13120,練馬区,709103,-185,696507,342647,353860,12596,5597,6999,344060,334691,5933,3436
4,13121,足立区,668885,-127,646658,326035,320623,22227,9502,12725,317021,302549,8371,6101
4,13122,葛飾区,446746,-171,433084,217705,215379,13662,6042,7620,213458,204123,6028,3307
4,13123,江戸川区,674683,-518,651806,331210,320596,22877,10134,12743,316224,300479,10463,5282
1,13200,市部,4088366,-2696,4026401,2002275,2024126,61965,27353,34612,1880548,1834293,28627,17628
4,13201,八王子市,563618,-736,554788,278951,275837,8830,3864,4966,253582,246903,4262,2417
4,13202,立川市,178246,-81,174952,87463,87489,3294,1413,1881,84783,82524,1332,927
4,13203,武蔵野市,138867,-29,136721,65605,71116,2146,1052,1094,72234,70480,1196,558
4,13204,三鷹市,179862,-255,177100,87123,89977,2762,1293,1469,89111,86865,1437,809
4,13205,青梅市,138532,-87,137105,68972,68133,1427,506,921,60429,59339,479,611
4,13206,府中市,251533,-333,247485,125376,122109,4048,1683,2365,116871,113852,1910,1109
4,13207,昭島市,113036,-34,111005,55684,55321,2031,893,1138,51818,50443,817,558
