"年月［西暦］","回収方法","種類","回収量[kg]","対前年同月比[%]"
201604,"集積所回収","資源プラスチック",226110,-2
201604,"集積所回収","古紙",623200,-9
201604,"集積所回収","びん・缶",364918,+1
201604,"集積所回収","ペットボトル",83430,"-"
201604,"拠点回収","紙パック",170,+30
201604,"拠点回収","使用済み乾電池",0,"-"
201604,"拠点回収","使用済み小型家電製品",141,"-"
201604,"拠点回収","古着",3750,+37
201604,"拠点回収","蛍光灯",14,+133
201604,"拠点回収","ペットボトルキャップ",38,-7
201604,"拠点回収","廃食用油",0,"-"
201604,"ピックアップ回収","金属製品等(不燃ごみからの回収)",46240,+31
201604,"ピックアップ回収","コード類(不燃ごみからの回収)",3430,+18
201604,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",0,"-"
201604,"ピックアップ回収","金属製品等(粗大ごみからの回収)",23620,+32
201604,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201604,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201604,"ピックアップ回収","木材(粗大ごみからの回収)",18820,"-"
201605,"集積所回収","資源プラスチック",219460,-2
201605,"集積所回収","古紙",589230,-6
201605,"集積所回収","びん・缶",362404,+2
201605,"集積所回収","ペットボトル",90000,"-"
201605,"拠点回収","紙パック",120,-25
201605,"拠点回収","使用済み乾電池",1801,"-"
201605,"拠点回収","使用済み小型家電製品",154,+2
201605,"拠点回収","古着",6344,+28
201605,"拠点回収","蛍光灯",16,+220
201605,"拠点回収","ペットボトルキャップ",32,-13
201605,"拠点回収","廃食用油",0,"-"
201605,"ピックアップ回収","金属製品等(不燃ごみからの回収)",45270,+25
201605,"ピックアップ回収","コード類(不燃ごみからの回収)",3157,+16
201605,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",3038,+170
201605,"ピックアップ回収","金属製品等(粗大ごみからの回収)",26020,+33
201605,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201605,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201605,"ピックアップ回収","木材(粗大ごみからの回収)",19920,"-"
201606,"集積所回収","資源プラスチック",216740,-2
201606,"集積所回収","古紙",592510,-2
201606,"集積所回収","びん・缶",362029,+1
201606,"集積所回収","ペットボトル",96680,+2
201606,"拠点回収","紙パック",100,-45
201606,"拠点回収","使用済み乾電池",0,"-"
201606,"拠点回収","使用済み小型家電製品",95,-36
201606,"拠点回収","古着",2540,-30
201606,"拠点回収","蛍光灯",10,-24
201606,"拠点回収","ペットボトルキャップ",50,+100
201606,"拠点回収","廃食用油",0,"-"
201606,"ピックアップ回収","金属製品等(不燃ごみからの回収)",41930,+3
201606,"ピックアップ回収","コード類(不燃ごみからの回収)",2756,-4
201606,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",2037,+2
201606,"ピックアップ回収","金属製品等(粗大ごみからの回収)",28170,+53
201606,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201606,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201606,"ピックアップ回収","木材(粗大ごみからの回収)",26950,"-"
201607,"集積所回収","資源プラスチック",213290,-6
201607,"集積所回収","古紙",596540,-9
201607,"集積所回収","びん・缶",358076,-5
201607,"集積所回収","ペットボトル",99190,-5
201607,"拠点回収","紙パック",200,+5
201607,"拠点回収","使用済み乾電池",2000,+14
201607,"拠点回収","使用済み小型家電製品",99,-34
201607,"拠点回収","古着",3186,+1
201607,"拠点回収","蛍光灯",4,-70
201607,"拠点回収","ペットボトルキャップ",73,"-"
201607,"拠点回収","廃食用油",0,"-"
201607,"ピックアップ回収","金属製品等(不燃ごみからの回収)",41790,+10
201607,"ピックアップ回収","コード類(不燃ごみからの回収)",2738,-10
201607,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1886,+102
201607,"ピックアップ回収","金属製品等(粗大ごみからの回収)",28980,+80
201607,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201607,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201607,"ピックアップ回収","木材(粗大ごみからの回収)",25600,"-"
201608,"集積所回収","資源プラスチック",214140,+1
201608,"集積所回収","古紙",575360,+3
201608,"集積所回収","びん・缶",363327,+3
201608,"集積所回収","ペットボトル",106810,+1
201608,"拠点回収","紙パック",150,-17
201608,"拠点回収","使用済み乾電池",0,"-"
201608,"拠点回収","使用済み小型家電製品",129,+81
201608,"拠点回収","古着",3399,-12
201608,"拠点回収","蛍光灯",10,+66
201608,"拠点回収","ペットボトルキャップ",80,+2
201608,"拠点回収","廃食用油",0,"-"
201608,"ピックアップ回収","金属製品等(不燃ごみからの回収)",40010,+7
201608,"ピックアップ回収","コード類(不燃ごみからの回収)",3296,+3
201608,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1802,+53
201608,"ピックアップ回収","金属製品等(粗大ごみからの回収)",25405,+39
201608,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201608,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201608,"ピックアップ回収","木材(粗大ごみからの回収)",26800,"-"
201609,"集積所回収","資源プラスチック",207930,-6
201609,"集積所回収","古紙",591330,-6
201609,"集積所回収","びん・缶",356247,
201609,"集積所回収","2%減",,
201609,"集積所回収","ペットボトル",100300,+2
201609,"拠点回収","紙パック",140,-13
201609,"拠点回収","使用済み乾電池",0,"-"
201609,"拠点回収","使用済み小型家電製品",88,-30
201609,"拠点回収","古着",2080,-28
201609,"拠点回収","蛍光灯",14,-13
201609,"拠点回収","ペットボトルキャップ",70,+150
201609,"拠点回収","廃食用油",160,"-"
201609,"ピックアップ回収","金属製品等(不燃ごみからの回収)",42770,+17
201609,"ピックアップ回収","コード類(不燃ごみからの回収)",2755,-10
201609,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1954,-4
201609,"ピックアップ回収","金属製品等(粗大ごみからの回収)",26715,+56
201609,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201609,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201609,"ピックアップ回収","木材(粗大ごみからの回収)",26860,"-"
