町丁目,世帯数,人口,男_総数,女_総数,０歳男人数,０歳女人数,１歳男人数,１歳女人数,２歳男人数,２歳女人数,３歳男人数,３歳女人数,４歳男人数,４歳女人数,５歳男人数,５歳女人数,６歳男人数,６歳女人数,７歳男人数,７歳女人数,８歳男人数,８歳女人数,９歳男人数,９歳女人数,１０歳男人数,１０歳女人数,１１歳男人数,１１歳女人数,１２歳男人数,１２歳女人数,１３歳男人数,１３歳女人数,１４歳男人数,１４歳女人数,１５歳男人数,１５歳女人数,１６歳男人数,１６歳女人数,１７歳男人数,１７歳女人数,１８歳男人数,１８歳女人数,１９歳男人数,１９歳女人数,２０歳男人数,２０歳女人数,２１歳男人数,２１歳女人数,２２歳男人数,２２歳女人数,２３歳男人数,２３歳女人数,２４歳男人数,２４歳女人数,２５歳男人数,２５歳女人数,２６歳男人数,２６歳女人数,２７歳男人数,２７歳女人数,２８歳男人数,２８歳女人数,２９歳男人数,２９歳女人数,３０歳男人数,３０歳女人数,３１歳男人数,３１歳女人数,３２歳男人数,３２歳女人数,３３歳男人数,３３歳女人数,３４歳男人数,３４歳女人数,３５歳男人数,３５歳女人数,３６歳男人数,３６歳女人数,３７歳男人数,３７歳女人数,３８歳男人数,３８歳女人数,３９歳男人数,３９歳女人数,４０歳男人数,４０歳女人数,４１歳男人数,４１歳女人数,４２歳男人数,４２歳女人数,４３歳男人数,４３歳女人数,４４歳男人数,４４歳女人数,４５歳男人数,４５歳女人数,４６歳男人数,４６歳女人数,４７歳男人数,４７歳女人数,４８歳男人数,４８歳女人数,４９歳男人数,４９歳女人数,５０歳男人数,５０歳女人数,５１歳男人数,５１歳女人数,５２歳男人数,５２歳女人数,５３歳男人数,５３歳女人数,５４歳男人数,５４歳女人数,５５歳男人数,５５歳女人数,５６歳男人数,５６歳女人数,５７歳男人数,５７歳女人数,５８歳男人数,５８歳女人数,５９歳男人数,５９歳女人数,６０歳男人数,６０歳女人数,６１歳男人数,６１歳女人数,６２歳男人数,６２歳女人数,６３歳男人数,６３歳女人数,６４歳男人数,６４歳女人数,６５歳男人数,６５歳女人数,６６歳男人数,６６歳女人数,６７歳男人数,６７歳女人数,６８歳男人数,６８歳女人数,６９歳男人数,６９歳女人数,７０歳男人数,７０歳女人数,７１歳男人数,７１歳女人数,７２歳男人数,７２歳女人数,７３歳男人数,７３歳女人数,７４歳男人数,７４歳女人数,７５歳男人数,７５歳女人数,７６歳男人数,７６歳女人数,７７歳男人数,７７歳女人数,７８歳男人数,７８歳女人数,７９歳男人数,７９歳女人数,８０歳男人数,８０歳女人数,８１歳男人数,８１歳女人数,８２歳男人数,８２歳女人数,８３歳男人数,８３歳女人数,８４歳男人数,８４歳女人数,８５歳男人数,８５歳女人数,８６歳男人数,８６歳女人数,８７歳男人数,８７歳女人数,８８歳男人数,８８歳女人数,８９歳男人数,８９歳女人数,９０歳男人数,９０歳女人数,９１歳男人数,９１歳女人数,９２歳男人数,９２歳女人数,９３歳男人数,９３歳女人数,９４歳男人数,９４歳女人数,９５歳男人数,９５歳女人数,９６歳男人数,９６歳女人数,９７歳男人数,９７歳女人数,９８歳男人数,９８歳女人数,９９歳男人数,９９歳女人数,１００歳男人数,１００歳女人数,１０１歳男人数,１０１歳女人数,１０２歳男人数,１０２歳女人数,１０３歳男人数,１０３歳女人数,１０４歳男人数,１０４歳女人数,１０５歳男人数,１０５歳女人数,１０６歳男人数,１０６歳女人数,１０７歳男人数,１０７歳女人数,１０８歳男人数,１０８歳女人数,１０９歳男人数,１０９歳女人数,１１０歳男人数,１１０歳女人数,１１１歳男人数,１１１歳女人数,１１２歳男人数,１１２歳女人数,１１３歳男人数,１１３歳女人数,１１４歳男人数,１１４歳女人数,１１５歳男人数,１１５歳女人数,１１６歳男人数,１１６歳女人数,１１７歳男人数,１１７歳女人数,１１８歳男人数,１１８歳女人数,１１９歳男人数,１１９歳女人数,120歳以上男人数,120歳以上女人数,不詳者男人数,不詳者女人数
総数,329232,572879,275284,297595,1947,1757,1931,1895,1966,1930,2034,1930,1990,2025,2136,2037,2115,2011,2059,2113,2205,2072,2110,1967,2046,1907,2026,1937,2001,1970,2083,1956,1973,1852,1994,1894,1957,1881,1827,1798,2018,1988,2324,2312,2465,2472,2710,2923,3274,3571,3856,4134,4230,4410,4504,4796,4708,4970,4623,4968,4586,5027,4609,4826,4410,4549,4266,4572,4137,4186,4113,4168,4084,4187,4182,4196,4133,4188,4298,4317,4406,4223,4378,4339,4412,4448,4350,4277,4211,4209,4415,4409,4539,4467,4464,4514,4441,4440,4430,4615,4469,4701,4622,4849,4670,4898,4421,4800,4417,4696,4334,4577,4398,4525,4247,4191,4155,4115,3467,3586,4099,4000,3758,3692,3456,3490,3170,3376,3040,3027,2932,3028,2893,2915,2682,2815,2453,2562,2520,2629,2442,2521,2365,2557,2326,2550,2354,2593,2386,2781,2605,3045,2806,3307,2887,3444,2731,3356,1578,1958,1681,2296,1913,2632,1806,2512,1702,2562,1598,2424,1357,2048,1070,1893,1085,1953,1060,1845,1015,1961,889,1785,692,1583,675,1437,501,1255,417,1098,350,897,274,819,184,684,126,481,99,372,57,300,28,177,21,138,12,80,7,60,3,39,2,20,1,13,0,10,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南1丁目,5104,8157,4181,3976,31,37,22,26,31,28,23,26,29,21,28,37,33,32,32,29,34,21,27,24,22,22,26,22,22,30,20,23,26,22,23,28,23,18,14,28,26,26,36,26,44,39,37,42,52,52,71,69,95,73,119,68,108,78,107,80,96,89,116,73,86,79,81,63,69,69,68,78,70,75,90,63,101,73,74,78,78,57,72,67,84,65,69,59,53,59,68,54,61,75,69,52,56,66,70,57,68,60,58,68,71,56,53,58,71,52,69,51,44,57,66,52,67,43,41,33,43,53,39,43,38,38,45,25,29,30,33,36,24,26,27,33,26,37,29,32,26,22,31,30,33,46,32,36,38,24,31,40,44,37,34,44,29,30,26,26,20,29,31,30,18,23,23,31,21,28,14,23,13,24,13,16,12,18,11,25,11,27,9,13,8,13,3,13,4,17,4,8,3,11,3,13,0,6,0,3,1,3,1,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南2丁目,3159,5261,2508,2753,20,22,24,26,31,24,30,28,28,35,21,19,20,21,10,23,21,16,21,12,15,15,15,11,13,12,13,12,12,11,17,11,15,17,22,15,6,15,12,10,13,10,17,28,24,12,35,33,32,36,34,39,46,44,32,41,39,47,49,54,39,50,45,59,38,44,46,44,46,54,52,36,56,42,50,51,42,46,54,52,59,48,51,45,45,39,38,51,36,52,45,38,36,44,44,42,54,43,32,52,45,38,37,62,43,39,44,40,38,43,23,35,30,33,25,24,27,31,32,27,26,32,20,28,27,28,19,30,24,20,22,29,22,23,28,28,21,23,26,27,20,27,20,29,27,25,23,30,28,37,28,31,24,24,20,13,17,16,16,20,11,31,11,21,12,10,8,24,7,18,10,22,14,9,4,16,7,21,6,6,4,13,3,12,3,2,3,9,3,3,4,2,0,5,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉1丁目,3974,5829,2958,2871,19,14,17,12,16,15,11,12,15,10,13,11,13,11,13,14,21,15,16,24,13,14,13,10,13,14,9,11,10,11,13,11,12,11,4,5,16,17,23,24,32,29,40,45,35,40,53,61,74,57,80,85,85,65,79,88,69,79,77,70,92,73,52,60,47,57,60,58,80,53,64,45,61,48,63,45,50,45,48,45,53,41,55,46,41,43,49,46,51,54,49,39,42,33,48,40,57,40,55,38,51,34,39,40,41,33,34,35,33,36,41,27,31,29,17,28,31,33,32,33,32,27,33,34,30,26,20,25,36,27,15,13,23,16,24,22,31,31,17,20,20,22,23,27,17,24,30,27,22,21,25,34,18,25,15,16,14,14,20,28,16,13,15,22,11,17,9,13,4,20,12,12,5,22,8,14,7,16,10,21,3,15,9,7,2,8,2,5,4,1,1,8,1,5,0,2,2,3,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉2丁目,4265,7347,3708,3639,29,23,33,23,25,25,36,30,16,34,32,18,26,32,26,31,28,36,29,29,27,20,31,33,27,33,22,22,25,27,26,29,24,25,27,23,26,21,36,35,41,46,38,40,63,53,83,51,88,58,81,60,83,74,73,42,83,65,67,72,63,57,60,60,57,45,60,46,56,55,79,47,58,56,65,62,60,52,61,55,50,58,61,52,51,59,62,56,69,52,60,54,61,59,60,49,59,54,50,57,57,58,49,65,54,50,55,48,43,59,67,54,55,49,40,32,42,38,55,35,37,31,38,45,40,33,31,34,37,31,31,24,26,30,26,32,24,28,24,30,19,20,23,32,21,25,29,42,36,34,28,56,35,45,20,28,21,23,25,24,28,32,30,30,13,34,16,25,13,20,5,20,10,22,6,17,8,15,12,17,4,12,5,12,3,10,5,9,2,7,3,12,2,6,1,3,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉3丁目,3781,6541,3098,3443,27,17,22,13,20,26,15,14,25,30,25,21,26,15,20,30,26,20,18,22,25,18,28,12,20,25,15,19,24,23,22,10,23,15,13,19,29,21,26,31,26,32,32,34,49,42,43,46,42,59,47,53,66,71,65,70,54,66,53,69,53,71,55,62,51,51,38,60,49,48,45,54,49,53,47,55,53,51,49,45,45,57,46,45,51,56,57,50,38,50,42,52,53,54,44,38,52,49,59,61,53,53,47,64,40,44,47,53,57,50,49,56,51,49,27,45,44,51,53,40,37,41,41,39,34,45,28,31,34,24,28,37,28,35,27,32,25,30,26,29,33,34,29,20,25,31,25,37,31,27,36,32,33,35,17,29,15,27,21,33,19,33,20,24,11,21,12,13,14,19,12,12,14,17,7,13,8,18,10,16,7,9,7,18,5,12,4,13,3,7,0,7,1,11,0,6,1,6,0,2,0,3,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉4丁目,4891,8673,4197,4476,27,32,27,34,25,27,35,35,37,29,41,35,45,27,35,39,26,36,38,31,44,36,27,35,41,39,25,27,30,33,33,15,25,29,26,29,30,28,29,33,34,32,39,45,35,39,61,57,65,56,71,53,80,63,65,60,80,74,73,64,78,80,54,60,81,64,55,57,69,70,70,62,56,81,65,69,67,67,79,71,68,74,67,72,84,68,71,77,79,69,80,76,73,68,65,85,69,69,69,74,71,76,71,62,70,68,56,60,55,69,69,57,53,46,40,47,53,52,46,51,39,52,40,42,42,53,43,48,40,41,49,49,33,39,24,41,29,41,35,35,34,49,41,33,43,46,43,42,48,49,37,49,43,50,15,29,24,41,32,41,32,41,25,50,22,46,21,30,21,26,14,22,7,30,22,35,11,23,10,16,14,26,4,28,8,11,2,12,5,7,4,8,2,5,4,6,0,4,0,3,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸1丁目,3339,4585,2186,2399,18,13,10,7,9,13,12,10,12,4,8,12,9,10,7,6,12,11,5,7,7,9,8,11,5,5,5,4,6,10,8,8,1,9,5,8,12,16,27,33,22,20,27,33,39,50,37,64,59,54,67,82,64,89,64,77,63,71,67,50,51,62,45,65,41,59,57,40,29,38,43,39,42,36,43,43,52,36,38,25,23,24,36,39,36,29,36,33,38,35,35,27,35,34,25,25,49,40,43,39,33,22,29,32,24,20,31,25,31,33,23,31,34,17,24,26,29,28,17,20,11,28,17,20,21,24,23,22,15,19,16,18,18,24,12,21,11,22,10,14,26,25,11,21,21,18,29,21,22,30,17,15,17,17,8,17,12,11,11,16,11,21,13,19,5,11,12,11,6,15,7,21,7,9,6,13,7,12,2,6,6,9,4,4,2,7,0,5,2,2,1,1,0,4,0,2,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸2丁目,1952,3000,1468,1532,6,7,5,9,4,11,8,5,7,5,11,10,12,4,10,4,5,8,14,8,7,6,11,6,10,6,7,6,8,12,7,7,14,8,4,10,12,17,17,14,8,8,15,14,30,18,24,28,26,31,25,35,27,32,47,23,37,24,25,27,14,27,24,27,27,29,20,25,31,21,20,25,18,23,25,23,27,24,27,20,25,24,28,27,22,21,27,32,25,21,9,30,25,26,12,16,20,26,24,24,35,22,26,19,16,16,29,17,19,22,21,23,27,18,23,18,11,20,23,11,15,19,16,23,15,8,15,7,12,8,17,9,11,6,13,13,11,12,9,20,6,15,17,16,15,25,22,17,19,22,16,12,17,22,7,10,9,10,9,11,11,19,9,15,13,12,6,15,2,13,3,8,8,6,4,12,5,11,3,13,4,10,0,6,1,6,2,3,1,6,1,5,0,0,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸3丁目,2113,3852,1877,1975,7,15,12,16,18,13,20,13,9,13,16,25,17,23,8,13,12,11,17,19,22,8,15,19,20,9,23,16,10,11,14,16,15,14,8,16,18,8,19,14,18,10,25,19,31,24,34,28,30,25,24,32,34,28,25,35,26,22,20,24,20,26,26,25,28,28,34,23,27,26,24,31,30,29,22,23,26,27,26,24,27,31,23,28,27,17,29,21,27,30,29,37,25,29,35,30,35,35,28,33,30,31,21,27,30,45,31,27,25,16,30,34,24,25,18,21,29,23,29,26,24,21,20,21,13,17,27,19,21,25,25,19,19,14,14,18,16,24,17,18,12,17,21,18,18,13,23,24,12,18,22,20,20,27,16,16,18,27,11,22,14,17,15,27,13,13,13,17,11,15,8,11,13,15,4,17,6,15,7,14,8,9,5,6,0,9,4,8,2,5,2,6,1,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
