町丁目,世帯数,人口,男_総数,女_総数,０歳男人数,０歳女人数,１歳男人数,１歳女人数,２歳男人数,２歳女人数,３歳男人数,３歳女人数,４歳男人数,４歳女人数,５歳男人数,５歳女人数,６歳男人数,６歳女人数,７歳男人数,７歳女人数,８歳男人数,８歳女人数,９歳男人数,９歳女人数,１０歳男人数,１０歳女人数,１１歳男人数,１１歳女人数,１２歳男人数,１２歳女人数,１３歳男人数,１３歳女人数,１４歳男人数,１４歳女人数,１５歳男人数,１５歳女人数,１６歳男人数,１６歳女人数,１７歳男人数,１７歳女人数,１８歳男人数,１８歳女人数,１９歳男人数,１９歳女人数,２０歳男人数,２０歳女人数,２１歳男人数,２１歳女人数,２２歳男人数,２２歳女人数,２３歳男人数,２３歳女人数,２４歳男人数,２４歳女人数,２５歳男人数,２５歳女人数,２６歳男人数,２６歳女人数,２７歳男人数,２７歳女人数,２８歳男人数,２８歳女人数,２９歳男人数,２９歳女人数,３０歳男人数,３０歳女人数,３１歳男人数,３１歳女人数,３２歳男人数,３２歳女人数,３３歳男人数,３３歳女人数,３４歳男人数,３４歳女人数,３５歳男人数,３５歳女人数,３６歳男人数,３６歳女人数,３７歳男人数,３７歳女人数,３８歳男人数,３８歳女人数,３９歳男人数,３９歳女人数,４０歳男人数,４０歳女人数,４１歳男人数,４１歳女人数,４２歳男人数,４２歳女人数,４３歳男人数,４３歳女人数,４４歳男人数,４４歳女人数,４５歳男人数,４５歳女人数,４６歳男人数,４６歳女人数,４７歳男人数,４７歳女人数,４８歳男人数,４８歳女人数,４９歳男人数,４９歳女人数,５０歳男人数,５０歳女人数,５１歳男人数,５１歳女人数,５２歳男人数,５２歳女人数,５３歳男人数,５３歳女人数,５４歳男人数,５４歳女人数,５５歳男人数,５５歳女人数,５６歳男人数,５６歳女人数,５７歳男人数,５７歳女人数,５８歳男人数,５８歳女人数,５９歳男人数,５９歳女人数,６０歳男人数,６０歳女人数,６１歳男人数,６１歳女人数,６２歳男人数,６２歳女人数,６３歳男人数,６３歳女人数,６４歳男人数,６４歳女人数,６５歳男人数,６５歳女人数,６６歳男人数,６６歳女人数,６７歳男人数,６７歳女人数,６８歳男人数,６８歳女人数,６９歳男人数,６９歳女人数,７０歳男人数,７０歳女人数,７１歳男人数,７１歳女人数,７２歳男人数,７２歳女人数,７３歳男人数,７３歳女人数,７４歳男人数,７４歳女人数,７５歳男人数,７５歳女人数,７６歳男人数,７６歳女人数,７７歳男人数,７７歳女人数,７８歳男人数,７８歳女人数,７９歳男人数,７９歳女人数,８０歳男人数,８０歳女人数,８１歳男人数,８１歳女人数,８２歳男人数,８２歳女人数,８３歳男人数,８３歳女人数,８４歳男人数,８４歳女人数,８５歳男人数,８５歳女人数,８６歳男人数,８６歳女人数,８７歳男人数,８７歳女人数,８８歳男人数,８８歳女人数,８９歳男人数,８９歳女人数,９０歳男人数,９０歳女人数,９１歳男人数,９１歳女人数,９２歳男人数,９２歳女人数,９３歳男人数,９３歳女人数,９４歳男人数,９４歳女人数,９５歳男人数,９５歳女人数,９６歳男人数,９６歳女人数,９７歳男人数,９７歳女人数,９８歳男人数,９８歳女人数,９９歳男人数,９９歳女人数,１００歳男人数,１００歳女人数,１０１歳男人数,１０１歳女人数,１０２歳男人数,１０２歳女人数,１０３歳男人数,１０３歳女人数,１０４歳男人数,１０４歳女人数,１０５歳男人数,１０５歳女人数,１０６歳男人数,１０６歳女人数,１０７歳男人数,１０７歳女人数,１０８歳男人数,１０８歳女人数,１０９歳男人数,１０９歳女人数,１１０歳男人数,１１０歳女人数,１１１歳男人数,１１１歳女人数,１１２歳男人数,１１２歳女人数,１１３歳男人数,１１３歳女人数,１１４歳男人数,１１４歳女人数,１１５歳男人数,１１５歳女人数,１１６歳男人数,１１６歳女人数,１１７歳男人数,１１７歳女人数,１１８歳男人数,１１８歳女人数,１１９歳男人数,１１９歳女人数,120歳以上男人数,120歳以上女人数,不詳者男人数,不詳者女人数
総数,329804,573129,275516,297613,1870,1760,1948,1829,1939,1924,2003,1941,2008,2022,2146,2029,2107,2028,2063,2068,2168,2081,2135,1984,2078,1909,2008,1942,1981,1970,2071,1967,2002,1843,1990,1886,1994,1916,1839,1796,1982,1927,2358,2363,2498,2451,2721,2939,3184,3506,3929,4119,4228,4426,4589,4841,4720,4973,4655,4982,4545,5012,4736,4929,4435,4569,4252,4550,4174,4178,4088,4254,3996,4061,4229,4257,4155,4132,4161,4278,4446,4183,4381,4402,4343,4399,4393,4320,4236,4163,4415,4387,4444,4463,4494,4453,4439,4462,4445,4627,4411,4540,4632,4927,4622,4841,4468,4790,4431,4794,4364,4559,4355,4499,4244,4264,4315,4274,3273,3388,4163,4091,3829,3717,3499,3544,3195,3330,3063,3056,2966,3065,2869,2919,2736,2856,2465,2583,2452,2604,2509,2547,2351,2532,2303,2545,2422,2610,2276,2680,2537,2964,2801,3310,2818,3406,2844,3423,1729,2119,1612,2225,1874,2542,1861,2552,1650,2591,1611,2402,1385,2139,1107,1872,1022,1913,1098,1885,974,1888,913,1861,689,1539,646,1444,541,1270,418,1101,320,916,294,790,180,693,129,506,92,361,64,300,26,187,20,136,14,73,7,59,3,42,2,21,1,12,0,10,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南1丁目,5078,8123,4167,3956,31,33,25,29,30,28,26,24,24,27,25,31,37,34,31,27,34,24,25,22,22,26,28,21,23,28,20,27,22,16,26,30,19,22,21,25,21,26,34,22,40,38,41,46,47,51,71,69,90,67,116,70,110,79,102,81,97,78,118,74,88,81,76,63,78,68,67,74,73,72,87,68,103,66,75,76,72,62,73,65,80,68,72,62,59,55,60,57,62,67,65,63,57,57,73,63,65,61,63,66,67,53,56,59,75,58,63,45,46,61,67,55,64,42,45,29,45,57,40,38,37,42,44,27,32,32,34,31,25,26,23,28,26,39,27,32,28,24,34,27,27,49,36,40,36,18,28,38,45,43,30,39,33,35,26,27,19,23,28,31,22,25,23,31,19,26,18,25,10,25,12,17,13,19,12,18,11,28,7,15,9,12,4,13,3,19,5,8,2,8,4,13,0,7,0,3,0,1,2,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南2丁目,3176,5288,2529,2759,25,23,25,24,24,26,31,27,30,31,23,23,19,22,13,21,19,16,21,12,16,16,15,13,13,9,13,14,9,11,20,11,17,17,19,16,8,13,11,12,13,9,17,22,21,19,36,26,30,38,34,42,48,38,35,43,41,47,50,53,43,50,38,62,47,50,50,45,43,50,60,41,52,42,50,46,46,50,53,51,44,49,54,42,51,40,38,47,34,55,47,39,42,45,41,42,44,42,44,53,41,42,37,51,47,46,43,44,35,39,28,36,24,36,26,22,29,33,31,31,28,27,21,27,28,30,19,31,25,19,20,28,24,23,25,25,19,23,30,31,18,27,20,29,28,28,21,26,29,37,23,32,26,24,22,16,18,15,15,20,12,23,11,26,9,11,12,24,6,14,10,22,14,14,5,15,5,21,8,5,4,13,3,13,2,1,3,10,4,2,2,3,1,4,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉1丁目,3979,5847,2954,2893,19,16,15,8,20,14,12,19,14,11,13,8,14,12,10,14,24,13,13,24,13,14,17,11,11,16,9,12,13,5,9,16,12,11,5,5,16,16,22,22,24,28,42,40,39,45,51,55,72,60,79,87,91,70,77,93,68,83,80,64,84,74,56,58,49,65,59,60,70,48,65,55,60,48,61,43,50,47,53,44,53,43,56,50,37,41,55,49,48,51,53,34,35,38,53,37,58,40,52,41,48,35,44,40,33,34,42,32,39,37,41,30,28,27,18,25,33,35,32,31,29,28,34,31,27,27,22,28,37,23,14,15,23,17,26,25,30,26,18,23,21,17,20,32,18,22,28,27,24,25,25,28,19,27,13,18,18,14,19,29,16,12,14,22,11,16,8,15,5,19,10,10,6,20,9,18,7,16,9,19,4,18,7,6,2,9,3,5,4,1,0,8,1,4,1,1,2,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉2丁目,4298,7382,3724,3658,36,18,33,30,26,19,30,30,23,33,29,20,29,30,23,32,24,32,36,35,27,16,26,33,31,33,22,23,23,26,28,29,22,30,28,20,25,23,40,32,43,49,45,49,61,59,84,53,94,62,77,63,91,68,71,53,77,61,72,68,58,62,56,53,56,44,58,50,51,57,84,43,53,54,68,66,62,46,56,57,54,57,55,56,55,51,61,61,68,53,60,57,63,56,60,52,62,50,49,55,54,59,51,64,48,49,65,49,42,62,64,49,60,54,35,32,42,40,50,34,43,34,39,41,39,36,34,37,35,25,29,26,29,30,26,35,26,26,18,28,24,22,24,30,20,27,23,33,38,40,30,54,36,49,22,30,18,23,25,25,28,31,27,29,16,34,18,26,11,15,6,24,12,24,6,14,8,13,11,19,5,14,5,9,3,12,2,9,5,6,3,12,1,6,2,4,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉3丁目,3787,6543,3104,3439,27,16,22,18,20,21,18,17,16,28,31,19,22,18,23,30,25,19,20,18,22,22,30,14,18,23,21,17,22,24,22,12,22,14,19,20,22,21,27,26,30,29,31,34,40,43,47,44,51,58,40,51,61,74,69,62,54,78,59,70,55,66,50,66,58,48,44,59,43,57,49,56,50,57,46,50,51,55,52,47,41,55,47,47,56,52,57,50,37,51,39,49,49,55,43,42,52,42,57,61,57,48,47,69,39,49,46,52,55,46,48,57,53,52,27,40,44,50,54,43,38,42,40,37,34,45,28,37,30,21,31,38,30,32,24,31,26,30,27,29,31,36,31,19,21,33,28,35,31,27,30,32,39,33,17,32,14,28,20,29,20,36,19,23,10,25,12,11,18,17,12,12,14,16,6,16,8,16,9,17,6,7,6,19,9,13,2,11,4,8,0,6,1,11,0,5,1,5,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉4丁目,4877,8644,4180,4464,21,31,28,30,27,27,36,32,33,35,38,37,48,25,34,37,31,35,40,37,41,36,27,35,39,36,29,31,25,32,36,17,28,26,21,31,32,25,28,34,36,31,38,45,39,42,57,49,60,58,68,60,80,63,76,59,75,75,65,64,81,74,62,64,72,56,56,65,67,60,69,65,61,77,60,67,64,63,79,76,63,73,64,73,86,64,70,70,83,78,76,72,68,75,79,86,61,68,68,71,76,71,71,65,68,66,63,64,48,62,73,66,53,48,35,42,57,53,43,52,45,51,35,46,40,48,42,49,43,46,46,48,32,38,28,38,30,45,35,37,33,46,42,36,39,44,44,32,46,58,38,45,43,50,18,30,26,36,31,48,30,42,27,44,24,51,20,30,19,26,16,21,8,28,20,37,13,21,9,15,16,24,4,28,6,16,3,13,4,5,4,8,0,5,6,5,0,6,0,3,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸1丁目,3347,4589,2183,2406,17,12,14,10,9,13,10,10,12,5,11,11,9,9,5,8,14,11,5,6,8,10,6,11,7,5,3,5,8,7,6,8,4,10,5,7,11,16,23,30,21,24,24,35,36,43,46,73,59,50,66,77,61,90,66,78,60,70,71,54,55,62,41,72,49,58,52,41,34,32,39,39,40,38,42,37,53,37,40,31,23,22,32,40,36,30,34,34,44,35,35,33,32,28,26,28,39,34,49,44,36,22,28,29,25,21,28,22,30,29,27,39,29,15,27,22,24,30,22,23,11,25,15,22,18,21,25,24,17,22,19,19,15,20,12,22,13,22,11,15,22,24,13,22,16,17,27,23,27,27,18,19,17,13,6,16,15,12,11,18,10,20,10,13,6,15,14,12,3,14,8,18,8,14,5,11,7,14,2,6,4,9,3,4,4,5,0,7,2,2,1,2,0,2,0,4,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸2丁目,1947,2991,1457,1534,3,7,6,7,3,10,6,7,7,5,13,10,12,4,8,4,5,9,16,7,6,6,9,6,13,6,7,7,7,9,8,9,13,8,5,8,12,13,17,18,9,12,14,10,25,19,29,28,27,33,26,33,25,39,46,18,37,26,24,29,16,24,19,24,28,30,19,29,28,20,25,22,15,24,24,18,28,30,23,17,27,23,23,26,24,25,27,25,23,25,12,29,21,26,16,19,18,19,21,30,39,24,25,15,16,20,32,17,20,20,20,23,28,19,21,17,15,19,19,16,18,17,16,19,17,14,9,7,17,6,14,10,11,5,13,14,15,12,6,18,8,16,12,18,15,21,20,18,24,21,12,15,19,21,9,12,9,10,7,11,12,16,8,19,16,10,6,14,2,14,3,8,7,7,5,10,5,13,3,12,4,9,0,7,1,6,0,4,3,6,0,5,0,0,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸3丁目,2118,3867,1885,1982,8,13,11,18,20,13,17,12,13,14,14,24,17,24,12,13,12,13,15,18,21,8,18,22,20,4,21,21,12,10,15,15,9,15,12,11,15,11,17,13,21,14,26,14,27,25,36,24,29,27,28,35,31,26,27,34,27,26,19,21,18,25,27,25,31,29,31,25,28,25,23,34,32,28,22,24,27,28,28,26,25,34,27,28,25,13,31,25,25,28,31,38,25,29,32,27,38,38,28,30,28,32,28,27,29,42,28,32,23,18,27,30,28,28,16,20,29,21,29,26,25,22,18,19,15,20,26,15,20,27,26,19,19,15,17,17,14,24,15,20,16,18,19,17,17,13,21,23,16,16,19,21,24,26,12,14,18,28,12,21,15,17,14,26,16,17,13,18,10,14,8,10,11,15,6,15,5,16,7,15,4,11,8,6,1,9,3,8,3,5,2,6,1,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
