町丁目,世帯数,人口,男_総数,女_総数,０歳男人数,０歳女人数,１歳男人数,１歳女人数,２歳男人数,２歳女人数,３歳男人数,３歳女人数,４歳男人数,４歳女人数,５歳男人数,５歳女人数,６歳男人数,６歳女人数,７歳男人数,７歳女人数,８歳男人数,８歳女人数,９歳男人数,９歳女人数,１０歳男人数,１０歳女人数,１１歳男人数,１１歳女人数,１２歳男人数,１２歳女人数,１３歳男人数,１３歳女人数,１４歳男人数,１４歳女人数,１５歳男人数,１５歳女人数,１６歳男人数,１６歳女人数,１７歳男人数,１７歳女人数,１８歳男人数,１８歳女人数,１９歳男人数,１９歳女人数,２０歳男人数,２０歳女人数,２１歳男人数,２１歳女人数,２２歳男人数,２２歳女人数,２３歳男人数,２３歳女人数,２４歳男人数,２４歳女人数,２５歳男人数,２５歳女人数,２６歳男人数,２６歳女人数,２７歳男人数,２７歳女人数,２８歳男人数,２８歳女人数,２９歳男人数,２９歳女人数,３０歳男人数,３０歳女人数,３１歳男人数,３１歳女人数,３２歳男人数,３２歳女人数,３３歳男人数,３３歳女人数,３４歳男人数,３４歳女人数,３５歳男人数,３５歳女人数,３６歳男人数,３６歳女人数,３７歳男人数,３７歳女人数,３８歳男人数,３８歳女人数,３９歳男人数,３９歳女人数,４０歳男人数,４０歳女人数,４１歳男人数,４１歳女人数,４２歳男人数,４２歳女人数,４３歳男人数,４３歳女人数,４４歳男人数,４４歳女人数,４５歳男人数,４５歳女人数,４６歳男人数,４６歳女人数,４７歳男人数,４７歳女人数,４８歳男人数,４８歳女人数,４９歳男人数,４９歳女人数,５０歳男人数,５０歳女人数,５１歳男人数,５１歳女人数,５２歳男人数,５２歳女人数,５３歳男人数,５３歳女人数,５４歳男人数,５４歳女人数,５５歳男人数,５５歳女人数,５６歳男人数,５６歳女人数,５７歳男人数,５７歳女人数,５８歳男人数,５８歳女人数,５９歳男人数,５９歳女人数,６０歳男人数,６０歳女人数,６１歳男人数,６１歳女人数,６２歳男人数,６２歳女人数,６３歳男人数,６３歳女人数,６４歳男人数,６４歳女人数,６５歳男人数,６５歳女人数,６６歳男人数,６６歳女人数,６７歳男人数,６７歳女人数,６８歳男人数,６８歳女人数,６９歳男人数,６９歳女人数,７０歳男人数,７０歳女人数,７１歳男人数,７１歳女人数,７２歳男人数,７２歳女人数,７３歳男人数,７３歳女人数,７４歳男人数,７４歳女人数,７５歳男人数,７５歳女人数,７６歳男人数,７６歳女人数,７７歳男人数,７７歳女人数,７８歳男人数,７８歳女人数,７９歳男人数,７９歳女人数,８０歳男人数,８０歳女人数,８１歳男人数,８１歳女人数,８２歳男人数,８２歳女人数,８３歳男人数,８３歳女人数,８４歳男人数,８４歳女人数,８５歳男人数,８５歳女人数,８６歳男人数,８６歳女人数,８７歳男人数,８７歳女人数,８８歳男人数,８８歳女人数,８９歳男人数,８９歳女人数,９０歳男人数,９０歳女人数,９１歳男人数,９１歳女人数,９２歳男人数,９２歳女人数,９３歳男人数,９３歳女人数,９４歳男人数,９４歳女人数,９５歳男人数,９５歳女人数,９６歳男人数,９６歳女人数,９７歳男人数,９７歳女人数,９８歳男人数,９８歳女人数,９９歳男人数,９９歳女人数,１００歳男人数,１００歳女人数,１０１歳男人数,１０１歳女人数,１０２歳男人数,１０２歳女人数,１０３歳男人数,１０３歳女人数,１０４歳男人数,１０４歳女人数,１０５歳男人数,１０５歳女人数,１０６歳男人数,１０６歳女人数,１０７歳男人数,１０７歳女人数,１０８歳男人数,１０８歳女人数,１０９歳男人数,１０９歳女人数,１１０歳男人数,１１０歳女人数,１１１歳男人数,１１１歳女人数,１１２歳男人数,１１２歳女人数,１１３歳男人数,１１３歳女人数,１１４歳男人数,１１４歳女人数,１１５歳男人数,１１５歳女人数,１１６歳男人数,１１６歳女人数,１１７歳男人数,１１７歳女人数,１１８歳男人数,１１８歳女人数,１１９歳男人数,１１９歳女人数,120歳以上男人数,120歳以上女人数,不詳者男人数,不詳者女人数
総数,329477,573219,275409,297810,1979,1761,1938,1899,1976,1914,2021,1967,2010,2042,2154,1995,2099,2030,2056,2144,2213,2064,2088,1957,2067,1918,2022,1954,1999,1980,2090,1927,1988,1868,1978,1868,1948,1898,1847,1773,2016,2010,2328,2302,2475,2500,2724,2928,3334,3651,3862,4158,4269,4456,4533,4785,4618,5015,4673,4969,4584,5029,4559,4780,4440,4557,4235,4571,4133,4218,4120,4151,4059,4197,4227,4227,4153,4134,4327,4339,4416,4235,4381,4421,4393,4423,4324,4251,4210,4238,4450,4446,4501,4444,4488,4526,4455,4486,4432,4545,4506,4770,4619,4812,4660,4931,4376,4801,4431,4710,4356,4523,4408,4567,4233,4155,4111,4023,3491,3696,4112,3946,3687,3662,3501,3490,3129,3325,3000,3053,2946,2995,2889,2931,2669,2793,2433,2578,2546,2602,2431,2552,2358,2555,2362,2565,2349,2562,2418,2816,2608,3076,2814,3319,2937,3482,2638,3273,1543,1925,1709,2311,1954,2677,1777,2482,1702,2587,1588,2401,1338,2027,1063,1883,1115,1947,1055,1868,1028,1968,880,1794,694,1554,661,1459,518,1229,409,1102,364,896,254,831,192,661,123,482,104,382,50,289,28,186,23,130,14,81,7,60,4,38,1,20,1,12,0,9,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南1丁目,5126,8183,4198,3985,33,35,23,29,33,25,22,27,27,21,29,37,33,29,34,31,33,19,26,25,23,21,23,25,24,32,18,22,26,18,24,31,24,17,15,27,29,26,33,27,43,42,34,42,53,55,72,66,95,79,128,60,100,82,107,78,98,95,123,76,78,77,91,57,70,75,64,79,70,75,93,67,100,66,71,81,85,58,65,66,90,67,64,59,56,55,71,52,57,78,67,53,63,65,64,58,68,67,61,58,64,58,54,55,69,55,73,54,47,55,64,49,69,41,39,39,39,51,38,42,42,38,46,26,26,34,33,31,26,28,28,35,25,36,30,29,28,23,27,30,38,49,30,33,38,26,35,41,41,33,34,46,32,31,21,22,22,34,30,29,20,22,21,32,22,28,14,22,14,22,13,18,13,17,12,25,10,28,9,13,8,15,4,12,3,15,4,8,3,12,3,13,0,6,1,3,1,2,1,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南2丁目,3165,5266,2502,2764,19,30,27,21,30,24,31,30,27,33,17,22,20,19,11,24,19,15,21,11,16,16,16,9,12,13,12,13,14,9,17,12,14,18,21,14,6,14,14,10,11,11,17,29,27,13,31,31,33,40,36,40,45,44,32,41,41,44,43,61,42,46,46,62,35,46,49,44,39,49,54,33,57,44,52,54,40,42,58,55,54,48,56,47,41,39,39,53,38,47,44,42,36,40,43,41,52,46,37,49,46,41,33,62,44,36,42,40,39,44,26,36,28,36,24,24,25,30,36,27,24,33,19,27,30,29,18,28,22,23,26,28,18,26,29,26,22,23,28,26,17,29,23,27,22,26,26,31,29,36,25,31,24,24,20,11,16,18,17,20,12,30,10,21,12,12,8,22,7,20,12,23,12,8,5,18,8,17,5,5,4,15,3,10,4,4,3,7,4,3,2,2,0,6,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉1丁目,3974,5829,2958,2871,19,14,17,13,14,16,13,11,15,12,11,7,14,15,12,11,21,18,17,20,12,15,13,9,13,14,9,9,12,12,11,9,13,11,5,6,16,21,25,22,35,30,39,47,34,41,55,60,76,54,80,87,77,68,82,85,68,81,82,70,91,72,47,59,49,60,63,53,76,58,67,43,55,45,60,48,50,44,48,39,59,47,51,43,48,48,40,42,56,55,42,36,47,33,45,41,58,40,55,39,53,34,36,43,41,33,38,32,30,35,43,28,27,29,19,30,32,31,33,34,31,28,34,32,28,28,23,23,34,28,17,12,23,20,26,21,26,28,19,20,20,30,22,19,19,29,30,24,24,20,24,34,16,25,15,17,16,14,20,26,15,15,19,20,7,17,10,14,3,19,13,14,4,21,8,13,7,16,10,22,3,16,9,5,2,9,2,4,4,4,1,5,1,5,1,2,1,3,1,3,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉2丁目,4322,7398,3739,3659,31,23,32,20,28,25,33,32,19,30,33,20,22,30,26,35,29,36,29,25,27,24,32,28,26,34,22,23,26,25,28,30,24,29,26,18,29,23,32,35,45,50,50,46,64,56,89,55,90,59,84,68,75,71,81,40,83,67,58,77,66,58,69,51,51,43,61,52,54,47,82,55,60,51,67,65,61,51,56,56,51,59,61,56,53,55,60,56,67,53,59,49,65,62,61,47,56,52,51,60,57,63,50,59,55,48,57,52,44,61,65,54,55,44,38,34,42,38,54,35,39,31,37,45,39,34,31,31,37,34,33,22,24,28,26,33,22,28,27,29,18,24,23,30,23,26,30,43,35,37,29,51,31,45,23,26,19,27,27,25,27,33,27,31,15,31,14,25,14,22,5,18,10,22,6,16,11,16,9,16,4,14,5,12,3,12,7,7,1,8,3,11,2,6,1,5,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉3丁目,3776,6536,3093,3443,26,17,25,16,18,22,14,16,28,29,28,20,21,17,20,28,25,24,18,19,28,17,26,18,22,21,15,20,24,21,23,11,20,14,16,20,29,21,26,34,24,27,35,33,45,45,45,47,44,56,44,56,67,68,64,70,53,68,57,64,55,74,52,61,47,53,37,58,53,46,41,58,54,48,48,58,53,52,45,50,49,56,48,46,49,55,56,48,36,53,46,53,50,50,47,38,51,55,56,60,52,52,51,66,38,44,53,55,52,47,50,53,44,51,28,46,47,48,53,40,38,46,39,35,31,44,28,30,38,24,24,39,27,34,29,30,23,29,29,32,31,32,29,22,24,34,26,34,30,27,41,33,27,34,16,29,16,27,20,34,21,30,19,28,10,18,13,12,16,20,13,10,11,18,8,13,7,19,12,15,6,12,6,15,5,14,4,10,3,7,0,9,1,11,0,4,1,6,0,3,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉4丁目,4906,8681,4203,4478,26,32,27,31,26,28,30,37,37,27,43,36,43,28,35,37,29,38,34,33,47,36,26,31,43,44,24,26,30,30,31,15,27,30,26,29,32,26,34,33,30,35,35,44,42,40,60,54,63,61,78,53,77,62,62,64,82,62,70,64,79,83,59,61,77,70,59,45,64,73,71,65,61,80,61,69,68,62,75,78,69,69,66,72,82,70,81,77,73,69,86,78,70,72,68,81,71,68,67,75,73,74,67,65,67,64,59,62,55,69,67,58,54,45,40,48,55,52,41,48,45,57,39,38,38,55,42,46,45,43,48,46,32,42,26,41,28,39,36,37,33,48,39,33,44,46,44,44,49,51,37,48,41,48,17,28,23,44,35,44,31,37,23,54,23,42,26,29,14,27,15,23,8,31,24,36,12,20,6,16,14,30,5,26,7,10,2,12,5,9,4,6,2,6,4,6,0,5,0,3,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸1丁目,3326,4574,2179,2395,18,12,11,7,9,13,14,9,10,4,9,12,9,11,6,6,13,10,6,8,5,9,8,9,5,5,6,5,5,10,8,9,2,6,5,8,12,20,29,35,19,21,23,29,42,54,36,64,61,55,63,84,66,86,64,76,63,70,66,50,48,62,43,60,44,60,52,45,35,35,42,37,37,35,50,44,44,36,41,27,20,25,37,39,35,27,36,33,39,36,34,27,35,37,30,23,45,43,42,34,34,22,26,33,24,18,31,27,32,33,23,27,34,17,22,31,32,27,15,18,10,26,16,21,22,22,27,26,13,16,18,18,15,25,12,21,12,21,12,14,25,26,11,20,23,18,27,23,23,29,18,14,14,19,11,14,9,12,12,18,12,18,11,22,5,10,13,9,6,17,8,21,8,9,5,14,7,10,4,7,4,10,5,3,3,7,0,5,2,3,1,0,0,4,0,3,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸2丁目,1958,3009,1476,1533,6,6,7,9,4,10,8,4,9,6,11,10,11,3,9,4,5,9,14,7,8,6,10,7,10,5,7,6,7,13,8,8,12,6,4,12,14,18,16,12,8,6,18,13,28,19,26,32,29,33,20,34,32,32,47,22,35,26,26,28,13,27,25,30,26,24,24,27,29,22,19,21,21,23,23,26,27,23,26,19,26,21,25,29,22,20,28,36,24,19,10,28,26,26,12,17,21,27,26,23,34,26,24,17,19,15,27,17,19,28,24,17,24,18,22,18,14,21,23,9,15,19,13,23,15,8,17,7,10,9,18,8,12,6,12,13,11,12,8,23,6,14,17,18,15,22,26,21,15,20,17,11,17,24,7,7,9,10,12,14,9,19,9,14,13,11,5,14,3,13,3,9,8,8,4,11,4,11,4,12,3,9,0,6,2,7,2,2,1,6,1,5,0,0,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸3丁目,2121,3866,1884,1982,8,14,13,14,19,14,19,14,9,14,15,23,18,21,7,14,12,11,17,18,21,11,18,16,19,11,22,14,10,13,16,16,15,13,9,15,20,10,17,12,20,11,25,20,31,26,35,28,28,28,25,30,34,29,27,34,25,23,19,28,21,22,25,22,25,29,35,24,25,27,29,32,28,27,22,22,28,28,23,22,27,33,27,27,28,18,28,24,26,27,31,37,23,31,34,30,36,33,26,34,31,32,21,28,30,46,33,23,26,16,33,37,19,24,19,22,29,22,29,30,24,21,21,18,13,17,27,21,20,26,24,16,20,15,15,20,13,26,17,15,15,17,19,18,20,15,20,22,14,18,23,23,20,25,14,17,17,24,11,24,14,15,16,27,14,15,11,17,12,15,8,11,14,16,3,16,7,17,6,12,8,10,5,5,0,9,5,8,2,6,1,5,1,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
