町丁目,世帯数,人口,男_総数,女_総数,０歳男人数,０歳女人数,１歳男人数,１歳女人数,２歳男人数,２歳女人数,３歳男人数,３歳女人数,４歳男人数,４歳女人数,５歳男人数,５歳女人数,６歳男人数,６歳女人数,７歳男人数,７歳女人数,８歳男人数,８歳女人数,９歳男人数,９歳女人数,１０歳男人数,１０歳女人数,１１歳男人数,１１歳女人数,１２歳男人数,１２歳女人数,１３歳男人数,１３歳女人数,１４歳男人数,１４歳女人数,１５歳男人数,１５歳女人数,１６歳男人数,１６歳女人数,１７歳男人数,１７歳女人数,１８歳男人数,１８歳女人数,１９歳男人数,１９歳女人数,２０歳男人数,２０歳女人数,２１歳男人数,２１歳女人数,２２歳男人数,２２歳女人数,２３歳男人数,２３歳女人数,２４歳男人数,２４歳女人数,２５歳男人数,２５歳女人数,２６歳男人数,２６歳女人数,２７歳男人数,２７歳女人数,２８歳男人数,２８歳女人数,２９歳男人数,２９歳女人数,３０歳男人数,３０歳女人数,３１歳男人数,３１歳女人数,３２歳男人数,３２歳女人数,３３歳男人数,３３歳女人数,３４歳男人数,３４歳女人数,３５歳男人数,３５歳女人数,３６歳男人数,３６歳女人数,３７歳男人数,３７歳女人数,３８歳男人数,３８歳女人数,３９歳男人数,３９歳女人数,４０歳男人数,４０歳女人数,４１歳男人数,４１歳女人数,４２歳男人数,４２歳女人数,４３歳男人数,４３歳女人数,４４歳男人数,４４歳女人数,４５歳男人数,４５歳女人数,４６歳男人数,４６歳女人数,４７歳男人数,４７歳女人数,４８歳男人数,４８歳女人数,４９歳男人数,４９歳女人数,５０歳男人数,５０歳女人数,５１歳男人数,５１歳女人数,５２歳男人数,５２歳女人数,５３歳男人数,５３歳女人数,５４歳男人数,５４歳女人数,５５歳男人数,５５歳女人数,５６歳男人数,５６歳女人数,５７歳男人数,５７歳女人数,５８歳男人数,５８歳女人数,５９歳男人数,５９歳女人数,６０歳男人数,６０歳女人数,６１歳男人数,６１歳女人数,６２歳男人数,６２歳女人数,６３歳男人数,６３歳女人数,６４歳男人数,６４歳女人数,６５歳男人数,６５歳女人数,６６歳男人数,６６歳女人数,６７歳男人数,６７歳女人数,６８歳男人数,６８歳女人数,６９歳男人数,６９歳女人数,７０歳男人数,７０歳女人数,７１歳男人数,７１歳女人数,７２歳男人数,７２歳女人数,７３歳男人数,７３歳女人数,７４歳男人数,７４歳女人数,７５歳男人数,７５歳女人数,７６歳男人数,７６歳女人数,７７歳男人数,７７歳女人数,７８歳男人数,７８歳女人数,７９歳男人数,７９歳女人数,８０歳男人数,８０歳女人数,８１歳男人数,８１歳女人数,８２歳男人数,８２歳女人数,８３歳男人数,８３歳女人数,８４歳男人数,８４歳女人数,８５歳男人数,８５歳女人数,８６歳男人数,８６歳女人数,８７歳男人数,８７歳女人数,８８歳男人数,８８歳女人数,８９歳男人数,８９歳女人数,９０歳男人数,９０歳女人数,９１歳男人数,９１歳女人数,９２歳男人数,９２歳女人数,９３歳男人数,９３歳女人数,９４歳男人数,９４歳女人数,９５歳男人数,９５歳女人数,９６歳男人数,９６歳女人数,９７歳男人数,９７歳女人数,９８歳男人数,９８歳女人数,９９歳男人数,９９歳女人数,１００歳男人数,１００歳女人数,１０１歳男人数,１０１歳女人数,１０２歳男人数,１０２歳女人数,１０３歳男人数,１０３歳女人数,１０４歳男人数,１０４歳女人数,１０５歳男人数,１０５歳女人数,１０６歳男人数,１０６歳女人数,１０７歳男人数,１０７歳女人数,１０８歳男人数,１０８歳女人数,１０９歳男人数,１０９歳女人数,１１０歳男人数,１１０歳女人数,１１１歳男人数,１１１歳女人数,１１２歳男人数,１１２歳女人数,１１３歳男人数,１１３歳女人数,１１４歳男人数,１１４歳女人数,１１５歳男人数,１１５歳女人数,１１６歳男人数,１１６歳女人数,１１７歳男人数,１１７歳女人数,１１８歳男人数,１１８歳女人数,１１９歳男人数,１１９歳女人数,120歳以上男人数,120歳以上女人数,不詳者男人数,不詳者女人数
総数,328310,572468,274950,297518,1984,1817,1998,1924,1983,1924,2049,1970,2053,2019,2141,2037,2090,2054,2144,2139,2159,2043,2097,1929,2034,1925,2019,1960,2009,1915,2028,1916,1957,1865,2005,1885,1873,1854,1776,1715,1963,2001,2295,2233,2493,2564,2739,2954,3435,3681,3841,4150,4309,4521,4486,4852,4582,4962,4519,4998,4666,4996,4467,4690,4381,4597,4307,4364,4127,4327,4020,4042,4219,4321,4159,4274,4170,4144,4393,4326,4495,4396,4429,4514,4410,4297,4250,4262,4334,4316,4524,4449,4522,4517,4452,4496,4464,4520,4438,4516,4579,4904,4679,4851,4539,4876,4326,4728,4439,4748,4394,4489,4366,4520,4261,4112,3615,3731,3957,3948,4000,3916,3595,3602,3361,3397,3151,3185,2997,3103,2901,2988,2869,2808,2591,2753,2433,2635,2506,2559,2410,2547,2343,2558,2426,2595,2337,2588,2504,2900,2770,3253,2793,3296,3065,3613,2204,2793,1553,1973,1796,2439,1967,2639,1765,2491,1706,2556,1549,2398,1286,1945,1066,1871,1168,1987,1068,1911,1009,1983,874,1746,692,1557,690,1475,503,1238,420,1062,352,905,249,830,175,632,131,487,108,401,42,279,40,174,15,131,14,96,7,62,4,36,1,17,0,16,1,10,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南1丁目,5144,8221,4219,4002,31,26,27,33,30,22,27,28,24,31,39,32,30,29,35,28,29,17,23,26,27,23,24,29,20,25,25,20,25,28,16,24,24,19,18,28,30,22,35,39,44,33,28,48,64,51,75,66,96,73,115,70,110,85,95,72,112,86,103,70,90,74,91,72,75,74,70,80,75,79,98,68,92,74,72,65,74,70,82,63,78,67,67,64,54,59,72,54,60,70,60,56,65,60,66,55,69,73,66,49,61,68,63,51,65,60,56,50,66,59,55,45,60,34,46,52,39,46,37,43,41,30,47,31,31,33,26,37,25,21,28,38,27,37,30,28,32,23,27,45,37,42,37,24,34,36,42,40,36,33,37,48,27,29,20,17,20,38,30,27,20,30,23,26,18,26,16,23,14,24,15,15,13,18,12,31,9,22,9,14,9,17,4,12,3,18,5,9,3,9,3,15,1,4,0,3,1,3,1,4,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方南2丁目,3142,5250,2494,2756,19,25,23,29,30,25,34,22,24,38,16,20,15,16,18,23,17,15,17,14,19,14,13,7,13,16,13,12,15,7,21,19,10,17,18,13,9,12,12,11,16,13,14,24,34,20,31,35,31,30,30,42,47,50,37,45,49,48,45,48,39,54,48,59,44,36,37,46,46,45,52,43,52,40,47,53,51,44,51,53,50,46,61,48,39,41,36,50,42,48,36,44,44,36,45,43,44,49,41,49,42,41,37,56,45,42,32,39,36,45,25,30,28,33,27,30,27,28,33,29,23,31,23,28,25,32,20,19,23,17,24,31,22,25,22,27,28,29,24,29,18,27,27,28,20,22,26,33,27,35,29,30,21,24,23,14,14,17,17,28,10,24,10,16,13,22,8,19,7,24,12,16,11,13,5,20,7,11,9,7,2,17,2,5,6,7,4,3,3,4,1,5,0,3,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉1丁目,3947,5821,2939,2882,13,16,18,9,17,18,12,11,15,9,12,14,15,16,18,12,14,18,14,17,15,14,12,13,12,13,13,7,10,14,11,12,10,6,6,11,13,22,21,22,34,33,32,44,41,37,58,61,78,60,72,86,79,79,78,78,84,71,80,80,71,65,55,59,49,62,65,55,80,63,62,49,55,35,61,55,50,44,55,42,54,47,43,42,53,49,43,46,51,51,45,32,49,37,48,39,55,45,57,39,48,37,32,34,41,32,42,36,32,30,36,29,24,30,25,34,32,24,33,34,34,29,32,32,25,28,29,18,25,26,20,11,25,23,29,25,19,26,27,17,13,34,23,19,20,28,28,24,26,24,23,36,15,20,16,14,15,19,22,21,15,15,19,18,7,17,6,20,5,12,13,20,7,15,7,17,7,14,9,22,3,11,8,7,3,10,3,5,2,6,2,6,1,2,1,3,1,3,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉2丁目,4290,7393,3725,3668,31,22,30,19,37,31,24,34,22,18,32,27,27,30,20,36,35,39,30,19,23,23,28,36,26,26,26,24,28,29,26,30,24,25,22,19,33,28,26,37,39,43,48,51,62,53,97,63,85,62,89,61,70,51,81,57,77,65,62,72,68,54,63,43,60,49,57,56,62,46,70,58,61,48,64,62,54,50,65,61,54,60,58,54,54,56,68,49,67,71,65,48,63,60,53,44,58,60,60,55,43,71,50,52,58,49,49,65,54,53,69,55,36,37,48,42,42,34,53,35,42,40,35,40,39,39,30,26,37,29,33,36,22,24,27,32,21,27,27,23,25,33,16,22,24,32,31,40,37,45,35,48,24,42,19,22,27,26,21,24,28,34,28,34,16,32,10,21,13,21,10,22,8,18,5,18,14,13,9,15,4,20,5,15,3,9,6,6,1,9,4,11,2,5,1,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉3丁目,3800,6583,3094,3489,27,17,27,18,15,21,18,25,23,25,28,20,23,21,22,25,25,22,17,19,31,14,22,23,21,22,16,22,23,15,21,8,24,18,18,22,20,21,30,31,26,31,38,28,44,36,51,58,34,62,52,55,66,73,59,72,59,70,57,68,52,68,45,65,43,51,40,58,53,57,41,50,51,52,51,55,59,64,42,55,47,49,47,50,57,57,43,48,44,50,48,56,45,45,49,39,55,61,59,55,50,67,43,53,41,51,56,50,50,48,57,60,29,46,35,45,54,49,47,37,37,43,43,44,27,42,29,29,38,26,31,36,24,33,30,32,19,23,34,36,31,27,27,28,23,38,28,28,33,29,38,35,27,38,13,24,18,31,20,28,14,32,20,26,14,16,14,15,16,19,16,17,9,16,5,14,12,17,8,14,6,12,5,19,6,11,6,12,1,5,0,10,1,12,0,5,1,4,0,3,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泉4丁目,4847,8604,4175,4429,18,32,30,24,31,34,29,32,43,33,42,33,41,30,34,42,29,34,39,36,39,35,35,32,35,39,28,25,30,25,31,21,24,29,23,27,29,26,30,26,27,34,38,41,46,37,41,51,73,53,71,53,69,54,69,61,72,67,75,65,73,76,66,58,69,68,57,54,73,71,65,71,61,71,68,64,65,67,76,80,66,79,78,63,83,71,71,79,78,71,76,81,74,78,73,70,65,75,76,77,74,70,66,60,74,67,47,58,69,70,62,51,45,45,42,50,52,58,43,43,43,47,38,42,36,60,44,42,50,44,38,41,33,49,26,33,27,43,38,42,36,40,37,38,45,39,46,51,48,50,42,49,28,41,23,31,24,41,33,45,29,42,26,52,24,37,25,28,17,28,11,25,16,39,19,30,13,20,7,19,12,28,7,27,6,10,3,10,4,10,4,7,5,4,1,7,0,5,2,2,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸1丁目,3315,4587,2174,2413,19,13,10,9,13,10,9,11,10,9,11,9,7,10,10,10,10,4,5,7,7,12,9,6,3,5,6,5,6,9,6,11,3,5,4,9,13,21,15,31,25,23,24,34,34,48,50,59,58,67,63,91,68,79,64,75,65,66,65,53,50,64,37,67,46,55,51,39,41,37,36,43,41,38,44,40,45,32,35,23,21,33,40,36,33,31,45,43,37,33,35,21,26,35,34,30,52,42,36,30,36,22,24,31,24,21,36,30,25,36,25,19,30,23,24,28,32,29,13,20,17,24,12,23,24,20,25,26,12,19,19,19,14,22,12,22,11,15,17,22,20,22,13,21,25,20,26,23,22,30,19,10,11,23,9,10,11,17,15,17,13,17,10,21,8,9,8,14,8,17,9,16,8,13,7,14,4,8,5,7,5,10,5,2,1,8,1,3,1,4,1,2,0,4,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸2丁目,1943,2993,1465,1528,6,9,5,12,7,7,8,3,9,8,13,8,8,3,8,10,10,4,9,9,10,4,10,8,8,6,6,5,7,10,9,9,9,4,6,13,11,9,14,13,13,8,24,15,23,22,22,25,27,33,25,37,34,27,46,25,29,26,27,33,15,24,23,31,23,29,28,24,27,20,11,24,21,16,27,33,26,19,30,24,24,19,26,28,23,23,26,25,19,25,16,31,18,22,16,16,23,34,28,21,38,20,20,19,23,22,27,15,16,28,24,17,26,20,22,14,15,21,20,13,15,12,13,23,11,9,17,7,18,9,12,5,13,11,13,16,10,11,7,20,7,15,16,22,17,20,26,17,16,19,16,17,16,20,8,6,7,5,13,20,6,20,14,12,11,11,3,15,2,10,6,9,7,8,4,11,4,13,3,9,3,9,1,9,1,4,2,6,2,5,0,4,0,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸3丁目,2131,3878,1890,1988,8,16,14,12,24,16,14,12,12,17,15,22,15,17,10,14,15,15,18,13,20,17,15,8,21,16,18,13,13,16,13,14,15,11,10,17,14,9,19,9,22,17,29,17,27,26,31,34,28,26,35,27,29,38,24,26,28,24,23,32,23,25,27,21,29,29,31,18,32,34,23,31,28,22,24,24,28,29,25,25,23,33,25,23,27,29,27,23,32,34,27,36,24,26,43,32,30,28,28,31,25,35,21,31,33,39,31,20,24,28,34,30,13,22,23,20,33,24,25,26,21,20,19,18,18,17,25,27,29,18,16,21,20,16,13,19,14,22,17,17,18,15,15,18,23,18,19,20,15,18,24,26,15,20,16,22,15,23,12,23,15,19,19,25,13,17,7,17,14,13,11,11,11,16,4,18,7,15,6,12,10,9,3,6,1,8,4,7,2,5,2,6,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸4丁目,3071,5571,2712,2859,21,12,15,20,20,15,23,19,26,20,27,19,15,14,20,22,29,19,25,24,16,13,24,13,21,15,22,17,19,22,18,14,11,17,16,12,31,18,27,31,48,56,50,59,31,51,26,38,45,56,51,56,53,42,39,40,48,37,43,36,43,37,45,39,30,34,37,38,27,36,27,25,39,39,39,34,44,51,40,42,40,37,33,40,43,33,33,43,41,40,45,40,43,46,27,41,37,42,46,44,40,41,41,43,43,39,36,37,34,46,48,44,27,42,45,46,39,31,36,35,39,43,26,32,26,22,43,29,40,21,22,41,24,28,31,26,38,25,25,27,17,27,23,30,31,25,32,39,43,40,32,34,23,33,15,10,16,24,20,22,15,28,11,21,14,20,10,13,7,13,9,20,9,15,17,25,7,18,6,14,7,14,6,12,5,12,5,12,2,9,2,7,1,8,5,3,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下高井戸5丁目,1650,3056,1464,1592,11,6,8,8,11,13,6,11,12,9,14,13,8,6,11,10,9,7,10,11,5,11,11,8,10,6,10,8,15,10,15,11,12,12,12,14,19,12,13,15,21,18,19,15,23,28,21,16,26,20,24,27,15,30,26,23,22,19,13,25,28,18,18,16,18,15,18,23,25,25,12,28,15,19,15,19,15,15,22,21,26,14,21,22,16,12,16,24,22,25,12,18,24,24,19,28,25,22,19,24,31,26,24,23,17,18,32,28,31,25,16,20,20,28,25,21,26,30,16,23,17,22,27,27,14,13,16,25,13,14,19,15,20,17,10,17,19,11,14,10,12,13,12,13,14,15,14,16,17,18,18,29,13,18,9,11,19,25,13,8,14,18,10,12,5,12,8,10,7,13,14,16,5,17,9,16,2,13,7,9,2,5,5,8,2,7,3,5,3,4,1,4,0,5,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永福1丁目,1926,3277,1580,1697,10,15,9,14,7,13,14,12,7,13,11,11,15,12,10,13,10,11,13,11,9,6,10,4,7,12,11,8,15,9,10,7,16,11,6,10,16,11,17,21,42,32,40,39,36,30,28,34,39,39,33,22,29,29,23,30,29,32,20,28,19,22,27,21,22,23,19,26,20,20,23,24,25,31,28,28,23,28,23,26,20,23,28,25,23,18,24,19,27,21,24,34,27,24,34,30,25,33,23,22,25,25,23,20,28,27,15,27,23,18,22,30,29,20,13,10,20,21,18,23,20,8,12,18,18,22,9,8,19,13,7,9,13,20,20,15,13,23,13,17,18,8,18,9,7,15,17,13,20,23,9,17,9,20,5,15,10,14,7,13,12,8,6,11,7,14,6,8,8,15,1,9,4,11,5,9,5,7,5,9,4,5,3,5,2,10,3,7,3,3,0,3,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永福2丁目,2475,4786,2241,2545,24,17,16,27,9,16,24,23,21,25,25,30,21,17,11,29,17,19,23,16,19,20,15,24,24,11,22,33,17,21,15,17,21,24,16,14,20,22,30,20,21,25,29,32,24,23,35,43,23,36,31,52,40,37,44,51,33,55,38,41,32,29,33,32,38,32,28,34,42,36,23,34,37,28,31,42,37,34,31,36,36,39,28,37,31,34,38,30,35,34,34,40,33,35,32,35,36,50,36,37,26,33,29,36,26,39,39,38,31,39,31,26,27,27,28,32,22,28,30,33,27,28,31,29,29,21,18,24,28,23,21,19,14,26,20,18,18,25,24,28,31,35,18,20,25,25,26,35,25,37,23,23,22,18,11,26,14,15,15,19,19,20,12,17,12,18,11,9,14,10,9,10,8,9,9,17,6,14,3,12,4,4,8,5,4,8,3,12,1,6,3,5,0,6,5,2,1,3,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永福3丁目,2372,4054,1918,2136,9,8,18,7,12,8,8,8,8,13,5,14,11,7,10,13,14,13,14,9,14,10,15,15,6,8,21,11,12,13,9,10,17,12,8,10,12,11,16,15,19,26,27,24,30,35,31,42,34,44,34,49,40,37,30,30,41,32,19,21,28,24,19,34,37,26,31,27,21,27,24,26,31,25,21,26,36,25,19,28,20,26,24,26,14,19,11,33,26,35,33,22,27,32,31,25,27,39,35,36,36,25,25,29,30,34,33,34,32,34,30,26,30,32,25,32,35,43,28,26,23,35,13,26,22,26,20,30,28,20,27,18,14,25,24,19,27,15,20,14,16,27,19,19,22,21,25,34,19,25,31,40,23,27,10,15,14,19,17,19,19,19,11,24,15,22,15,15,8,19,12,14,12,14,6,19,12,15,4,7,9,12,3,12,4,5,2,9,5,2,1,8,0,4,0,4,1,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永福4丁目,2149,3660,1726,1934,14,11,13,17,18,9,24,7,18,13,11,18,10,16,10,17,10,22,8,9,6,2,16,12,9,12,12,6,6,8,12,11,13,6,12,14,10,8,22,17,25,15,21,18,25,26,29,23,34,42,39,39,31,36,26,42,28,49,28,39,22,31,34,27,30,32,26,24,28,34,28,37,32,30,28,24,30,28,28,39,26,26,22,23,30,18,25,31,19,29,30,25,27,21,24,20,22,27,27,43,24,27,33,36,20,31,30,27,27,28,23,19,22,19,24,28,18,21,25,25,22,25,22,27,18,24,19,14,8,25,13,21,18,10,14,16,16,18,11,9,15,24,10,16,15,19,24,18,17,16,21,24,14,17,10,10,13,13,7,21,12,20,11,16,10,12,10,7,5,14,5,10,6,11,10,16,3,10,5,12,2,9,1,3,3,6,3,5,1,8,3,4,2,8,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浜田山1丁目,2028,3926,1801,2125,9,10,11,8,9,11,12,17,16,13,14,9,6,21,17,12,11,9,13,12,14,11,18,9,14,12,20,13,8,10,19,19,12,16,15,16,12,21,18,17,20,26,27,26,21,21,29,27,26,33,10,27,16,37,20,28,17,27,21,25,13,25,26,30,16,19,17,18,17,20,23,22,18,24,24,27,23,27,22,28,24,25,23,17,17,26,20,33,33,37,12,22,25,18,15,22,31,36,29,45,30,39,45,34,30,38,29,34,29,32,34,37,35,30,26,30,23,29,28,30,27,27,23,37,23,32,32,24,24,27,26,38,29,30,33,26,21,16,18,27,28,27,30,21,17,26,23,17,23,34,26,33,21,19,10,16,13,20,20,21,18,18,17,20,8,15,13,18,9,18,8,17,9,7,4,12,6,10,4,8,7,11,2,10,5,9,5,5,2,8,1,6,0,7,0,3,0,0,2,2,1,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浜田山2丁目,1369,2567,1202,1365,5,5,4,3,12,3,9,9,12,8,8,6,7,8,12,9,9,9,11,6,8,9,2,9,18,6,10,6,8,11,14,10,10,14,16,13,9,10,21,10,9,16,18,14,21,14,19,22,13,15,19,11,16,15,9,25,14,32,15,24,10,18,9,13,9,9,10,15,9,19,15,17,10,11,16,22,12,16,16,13,18,16,16,11,11,17,10,18,18,10,19,15,8,13,12,20,21,16,27,20,22,29,13,28,17,30,27,23,24,27,24,21,34,24,13,22,25,16,17,19,17,22,12,14,20,14,8,25,16,9,15,15,14,11,10,21,10,18,17,8,8,13,8,15,11,16,14,14,17,22,15,16,7,12,9,13,10,20,17,7,3,12,10,16,13,17,6,14,13,9,11,11,7,6,6,15,7,9,6,6,0,4,6,10,2,6,0,5,1,2,2,4,1,4,0,4,2,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浜田山3丁目,2407,4420,1977,2443,19,20,13,15,20,19,18,14,28,16,22,15,13,13,18,16,16,16,16,14,20,12,19,11,12,25,16,11,13,18,16,17,15,13,12,17,18,13,15,15,14,16,22,11,20,17,25,22,22,41,27,32,30,45,21,41,27,33,29,34,37,46,26,27,18,33,29,35,23,27,29,39,22,33,32,30,26,40,32,46,21,42,23,33,34,34,32,36,36,31,29,46,45,42,29,41,32,54,30,45,35,42,42,50,34,36,29,31,32,34,40,35,21,45,35,49,36,46,29,39,22,29,16,26,28,27,21,26,23,29,18,26,28,23,14,17,21,31,18,23,18,19,15,19,20,30,28,22,25,25,14,23,15,23,8,21,14,10,12,22,11,17,15,22,14,16,8,18,4,16,9,13,6,11,8,17,6,14,5,13,9,9,2,7,1,4,2,9,3,8,2,4,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浜田山4丁目,2919,5851,2678,3173,24,22,20,20,20,15,32,25,22,25,25,24,30,30,26,31,24,28,23,26,34,34,29,23,30,29,23,25,26,25,32,25,23,27,19,19,25,22,30,26,24,29,30,29,31,40,32,48,34,40,21,45,26,48,28,38,30,45,35,37,27,35,29,36,36,32,34,34,20,38,29,37,28,39,31,41,40,37,46,51,44,38,35,46,38,63,42,59,53,31,41,52,35,41,48,45,49,60,40,62,49,58,53,70,42,43,31,50,55,49,46,51,48,38,44,46,48,46,33,47,37,38,40,44,35,30,34,40,32,37,37,24,22,32,25,27,17,27,18,19,24,25,26,33,26,36,30,44,25,21,38,35,25,32,17,24,19,31,19,28,15,25,16,29,12,25,8,11,8,17,11,27,7,15,10,14,13,13,10,13,3,9,5,7,4,17,3,12,3,13,1,7,0,4,1,5,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
